|HallowQuests||||
UnderBasaltB1|Видишь тот [[каретный сарай]] наверху? Ты знаешь, ту штуку, которая выглядит как ((никакой каретный сарай, который ты когда-либо видел))?||||
UnderBasaltB2|Ну, это то место, куда мы пытаемся добраться. Фрост считает, что если там осталась целая Эмберианская [[автокарета]], он сможет ее починить.||||
UnderEmberianB1|<<Она тяжело дышит; в воздухе витает запах машинного масла.>> ##Эти штуки... действительно умеют сражаться.||||
UnderEmberianB2|Они не похожи на тех мелких, которых я видела в Небесных Землях. Эти парируют и контратакуют мои удары — они учат мои движения и реагируют соответственно. Как будто они действительно ((думают)).||||
UnderEmberianB3|Если Эмберианцы построили эти штуки только из металла и магии, что еще они могли... создать?||||
UnderEmberianB4|<<Она ерзает, внезапно чувствуя себя неловко в своей броне, и больше ничего не говорит.>>||||
UnderDuchessB1|<<Герцогиня держится за голову.>> ##Ах... Исповедник. Я не... почувствовала твоего присутствия среди всего этого ((шума)).||||
UnderDuchessB2|Я не испытываю ((боли)). Я просто... перегружена психической информацией.||||
UnderDuchessB3|Я имела в виду... ((психический)) шум. Его так ((много)), что трудно... отключиться.||||
UnderDuchessB4|<<Она указывает вперед.>> Видишь все эти грибы? Они не похожи на те наросты, что мы видим... в Небесных Землях. Это ((проклятые)) тела тех... <<Она морщится.>> ...((жалких)) душ, которые пережили Мировой Разлом.||||
UnderDuchessB5|Их грибные формы слились... в суперорганизм. Их разумы едины, объединены в агонии и страданиях. Я слышу их безмолвные крики, их раздробленные воспоминания.||||
UnderDuchessB6|Но один голос выделяется из этого хаоса. Рабочий с [[особым ключом]]. Я вижу, как он вставляет его... в замок [[автокареты]].||||
UnderDuchessB7|Он жил... в [[том доме]] вон там. Думаю, тебе стоит его посетить.||||
UnderDuchessBP1|Эм, ты в порядке?||||
UnderDuchessBP2|Я думал, Вечные привыкли к боли.||||
UnderDuchessBP3|Я ничего не слышу.||||
UnderBasaltC1|Какой вид отсюда, а, Исповедник? Как будто один из тех модных пейзажистов Бьонна наглотался ((плохого)) грибного супа и нарисовал свой бред. <<Он смеется.>>||||
UnderBasaltC2|Нам повезло. Видишь тот [[город]] вдалеке? Именно туда должны нас доставить эти [[автокареты]]. Оттуда до Колыбели будет неспешная прогулка.||||
UnderBasaltC3|Фрост творит свою магию, но похоже, нам все еще понадобится [[ключ]], чтобы запустить одну из карет. ##Так что тебе лучше начать его искать.||||
UnderBasaltC4|Конечно, это будет как искать иголку в стоге сена. Так что, возможно, Герцогиня сможет помочь тебе его найти? ##В последний раз я видел ее, она направлялась в [[грибной лес]] внизу.||||
UnderFrostC1|<<Фрост извергает поток странных ругательств, борясь с механизмом.>> ##Десять тысяч... ((ириски))-жующих... проклятых... ((чертовых))... ##((ЧЕРТ ПОБЕРИ!))||||
UnderFrostC2|<<Он пинает трамвай своим стальным носком. Он звенит, как гонг.>> ##((Лягушка)) меня назад с ((мигающим)) боевым топором!||||
UnderFrostC3|<<Фрост выглядит нехарактерно смущенным.>> ##Пожалуйста, примите мои глубочайшие извинения за задержку. Это самая продвинутая машина, с которой я когда-либо сталкивался, и я не привык к такой степени... ((упрямства)).||||
UnderFrostC4|Мне удалось восстановить двигательную мощность, но эти [[меры безопасности]] поражают своей элегантностью. Я могу только предположить, что Эмберианцы считали сеть автокарет имеющей большую стратегическую ценность.||||
UnderFrostC5|Все, кажется, вращается вокруг какого-то [[ключа]]. Не бойтесь; я уверен, что смогу его обойти.||||
UnderFrostC6|Что? Абсолютно нет. Это было бы ((жульством)).||||
UnderFrostCP1|Проблемы?||||
UnderFrostCP2|Похоже, тебе не помешала бы помощь.||||
UnderFrostCP3|Я просто оставлю тебя в покое.||||
UnderFrostCP4|Дай мне попробовать найти этот ключ для тебя.||||
UnderDuchessD1|Когда я бродила по лесу внизу, я чувствовала воспоминания тысячи Эмберианцев. Я видела это место как раскинувшийся городской пейзаж с башнями и дворцами, превосходящими мастерство любого каменщика Вечных.||||
UnderDuchessD2|Но видеть тот же город перед собой, полностью ((разрушенным))? Этого достаточно, чтобы даже я — прожившая множество человеческих жизней — задумалась о мимолетности наших жалких человеческих свершений.||||
UnderEmberianD1|Я вижу его, маячащий на горизонте — [[Колыбель]]. Она так ((близко)).||||
UnderEmberianD2|Нет времени медлить, Исповедник. Давай поторопимся и сядем на эту [[автокарету]].||||
UnderBasaltE1|Ну, чего ты ждешь? Вставь этот [[ключ]] в панель управления и давай запустим ее.||||
UnderBasaltE2|Ну и дела; я никогда не видел, чтобы воздушное судно двигалось с такой грацией. Несмотря на бури, оно скользит, как катер в самый ясный день, и быстрее всего на свете.||||
UnderDuchessE1|Ну, давай, [[используй ключ]], Исповедник. Это ожидание сводит меня с ума.||||
UnderDuchessE2|Одно дело видеть это издалека, но двигаться через эти руины кажется прямо-таки мрачным. Я думала, что Вердант был разрушен, но это намного хуже.||||
UnderEmberianE1|Давай, запусти эту штуку.||||
UnderEmberianE2|Это самая странная вещь. Я никогда в жизни не видела такого устройства, но ехать на нем кажется... странно знакомым.||||
UnderFrostE1|Ты испортил все веселье, знаешь ли? Я ((смог)) бы заставить это работать без ключа. Мне нужно было всего лишь еще час. Возможно, два. Семь, в самом крайнем случае.||||
UnderFrostE2|<<Фрост не может сдержать улыбку, его глаза бегают между каждым проносящимся видом.>> ##Невероятно. Просто ((потрясающе)). Представь, как это должно было ((изменить)) саму ((природу)) расстояния. Целые популяции, мигрирующие, как птицы!||||
UnderBasaltF1|Ну ((вот те на)). Я бывал во многих местах — от парящих зиккуратов Аль-Асфары до сверкающих куполов залов совета Риована. Но этот город... даже в ((руинах)) это зрелище.||||
UnderBasaltF2|<<Он вытирает лоб.>> Давай сделаем паузу, чтобы перевести дух. Этот город, похоже, кишит механическими стражами, так что нам нужно быть начеку.||||
UnderBasaltF3|Когда будешь готов, мы направимся к [[самой высокой башне]] вон там. На ее вершине Герцогиня обнаружила какую-то [[автокарету]], направленную к Колыбели. Это будет нелегкий подъем, но у меня нет лучших идей.||||
UnderBasaltF4|Все равно, могло быть хуже. ##<<Он указывает на трущобы под городом.>> По крайней мере, нам не нужно спускаться ((туда)).||||
UnderDuchessF1|Я возвела еще один экземпляр своей [[транспозиционной палатки снабжения]]. Благодаря некоторым хитростям шифрования, она может существовать в двух местах одновременно, так что ты можешь использовать ее, чтобы вернуться к месту крушения катера, если захочешь.||||
UnderDuchessF2|Тем не менее, я чувствую, что нам не стоит задерживаться здесь дольше, чем необходимо. Давай пройдем через этот ужасный город как можно быстрее.||||
UnderEmberianF1|<<Она ерзает в своей броне, явно беспокойная.>> ##Мы ((близко)), Исповедник. К лучшему или к худшему, мы скоро окажемся перед Велой.||||
UnderEmberianF2|Но не теряй бдительности. Этот город — лабиринт мостов, туннелей и рушащейся кладки — нам может понадобиться время, чтобы найти путь.||||
UnderEmberianK|Похоже, впереди что-то большое. Давай не будем терять бдительность.||||
UnderFrostF1|<<Фрост смотрит по сторонам с детским изумлением.>>||||
UnderFrostF2|Просто ((посмотри)) на это. Ты мог бы поместить все население моего родного города в несколько таких башен. Как, черт ((возьми)), они поддерживали столько людей?||||
UnderFrostF3|<<Он щелкает пальцами, смотря на тебя с диким предположением в глазах.>> ##Конечно. ((Автокареты)). Перевозят товары и рабочую силу туда, где они нужны, со скоростью молнии.||||
UnderFrostF4|Все сходится, понимаешь? Они могли жить в сельской местности и работать в городе, или наоборот. Посвящать целые здания, целые ((города)) одной цели, полностью специализированные и оптимизированные. Королевство Механизмов, доведенное до совершенства!||||
UnderBasaltG1|Хмф. Нам нужно добраться до [[вершины этой башни]], но, похоже, там нет лестницы, а лифт вон там... <<Он указывает на выход.>> ...едет только ((вниз)).||||
UnderBasaltG2|Похоже, нам все-таки придется отправиться в те ((трущобы)). Вот уж не повезло.||||
UnderDuchessG1|Похоже, это театр; как ((интересно)). В Землях Вечных нас окружают драматурги и поэты, которые компенсируют отсутствие таланта избытком ((времени)); странно утешительно найти здесь культурный аналог.||||
UnderDuchessG2|Интересно. Несмотря на их великие достижения и бесчисленные удобства, все ли еще Эмберианские поэмы оплакивают глупости человечества? Все ли еще их трагедии полны пафоса и сожаления?||||
UnderEmberianG1|Подумать только; когда-то в этой комнате собирались сотни моих предков, объединенные весельем. Пожалуй, это самое близкое, что я когда-либо чувствовала к чему-то вроде ((дома)).||||
UnderEmberianG2|И все же, среди этих ржавых, пустых сидений — я никогда не чувствовала себя более одинокой.||||
UnderFrostG1|<<Фрост свистит, затем прислушивается к эху.>> ##Идеальная акустика. Что это за ((существо))? Пленный призрак? Нет; слишком чисто. ((Механическое)). Искусственный актер для технологической сцены. Как они это ((сделали))?||||
UnderFrostG2|((Черт)) возьми, просто подумай о возможностях. Пьесы, исполненные однажды, затем воспроизведенные в другом месте. Как бутылочное видение без солипсизма. Слышать голоса, видеть страсти великих актеров, давно умерших. Время не препятствие, расстояние не барьер!||||
UnderFrostG3|Было ли это местом простого развлечения или также поклонения? Заменило ли искусство таинство в объединении масс? Что это место ((значило)) для зрителей? Они одевались нарядно или приходили как есть?||||
UnderFrostG4|((Черт)) возьми, если бы я мог провести месяц в каждом из этих зданий!||||
UnderEmberianH1|Это отвратительные трущобы Эмберианских низших классов. Многие думают, что каждый Эмберианец жил как король, но они строили свои огромные города на крови и поте бедных.||||
UnderEmberianH2|С таким технологическим мастерством Эмберианцы могли построить рай для каждого человека в своей империи. Но я думаю, они ((наслаждались)) неравенством. В конце концов, чтобы один считался богатым, другой должен быть нищим.||||
UnderEmberianH3|Вот почему я никогда не могла поверить в амбиции Велы. Назови меня циником, но... рай существует только в журналах. На самом деле, мы всегда будем барахтаться в грязи.||||
UnderDuchessH1|В детстве я смотрела вниз с Верданта, сквозь облака, на сверкающий океан света, которым была Эмберианская империя.||||
UnderDuchessH2|Я верила, что каждый мужчина, женщина и ребенок ложились спать с полным желудком. Странно видеть, что на самом деле у них были свои крепостные и крестьяне, как и у всех.||||
UnderBasaltH1|Похоже, этот шахтный ствол ведет обратно к [[каретному сараю]]. Используй его, если нужно пополнить запасы, но постарайся не задерживаться; нам еще предстоит долгий путь.||||
UnderBasaltH2|В последний раз я видел его, Фрост чинил [[лифт]] у основания одной из тех [[гигантских башен]]. Если он заработает, это должно доставить нас туда, куда нужно.||||
UnderFrostH1|На этот раз ключи не нужны, Исповедник. Я применил уроки своей неудачной борьбы с автокаретой к этому упрямому [[лифту]], и он не смог противостоять Какстону Фросту! То есть, Горацию Меткалфу.||||
UnderFrostH2|Когда ты дернешь рычаг, мы взлетим, как стрекозы, к самым высоким вершинам этого мегаполиса. Или, возможно, нас выстрелит, если я неправильно рассчитал скорость. ((Черт)) возьми, это захватывающе!||||
UnderDuchessI1|Видишь [[самую высокую башню]] вон там, Исповедник? Я обнаружила автокарету на ее вершине, которая должна доставить нас к Колыбели.||||
UnderDuchessI2|Будь осторожен, переходя мосты. Эти платформы выглядят очень ненадежными, и внизу ((долгий)) путь, а?||||
UnderFrostI1|<<Фрост вытягивает шею, чтобы рассмотреть украшенный потолок.>> ##Эти узоры интригуют. Сложные, но полностью абстрактные. Никаких явных изображений фигур или сцен.||||
UnderFrostI2|Возможно, Эмберианцы ставили математику и геометрию выше мифов? ##Без сомнения, этот узор имел какое-то ритуальное значение.||||
UnderBasaltJ1|Ну, вот мы и здесь; ((Колыбель)). Не похоже ни на один трактир, который ((я)) когда-либо видел... <<Он смеется.>>||||
UnderBasaltJ2|Эта платформа должна доставить нас внутрь. Когда мы доберемся до Велы, ты можешь вести переговоры, Исповедник; я думаю, это наш лучший шанс. Если она увидит остальных из нас, она захочет говорить только своими ((мечами)) — ведь мы ((мятежники)).||||
UnderBasaltJ3|Я полагаю, твои начальники хотят, чтобы ее доставили тихо, но если что-то пойдет не так — а я уверен, что ((пойдет)) — мы прикроем тебя. ##Нас может быть всего горстка, но мы уже сталкивались с тяжелыми испытаниями.||||
UnderBasaltJ4|<<Он вздыхает.>> Ох, ((надеюсь)), это будет так просто, Исповедник. Ради нас... и ради Велы.||||
UnderBasaltJ5|Просто знай, что если она попытается перерезать тебе горло, мы будем готовы вмешаться.||||
UnderBasaltJ6|<<Он кивает.>> Это не такая уж плохая идея. У нее будет много верных Темных Звезд, так что нам нужно спланировать нашу атаку. Просто держи ее в разговоре как можно дольше.||||
UnderBasaltJ7|<<Он хмурится.>> Я ((надеюсь)), ради ((тебя)), что ты шутишь, ((Исповедник)). Мы здесь не имеем дела с мелкими преступлениями — Вела может разорвать этот мир ((на части)).||||
UnderBasaltJ8|И если ты ((хочешь)) помочь ей в этом, то сначала тебе придется столкнуться с моим клинком.||||
UnderBasaltJP1|Я уговорю Велу сдаться без боя.||||
UnderBasaltJP2|Я отвлеку ее, пока вы готовитесь к удару.||||
UnderBasaltJP3|Я выслушаю ее. Возможно, ее план не так уж плох.||||
UnderBasaltJP4|Я предложу Веле свою полную поддержку.||||
UnderDuchessJ1|О боже — эта Колыбель действительно огромна, не так ли? Я уверена, что даже каменщики, строившие наши мавзолеи Вечных, вспотеют при виде ((этого)).||||
UnderEmberianJ1|Находиться здесь заставляет мой желудок сжиматься. Но будь уверен; мой меч будет верен.||||
UnderEmberianJ2|Если бы все зависело от меня, я бы бросилась на Велу в лоб. Не дала бы ей времени ((подумать)), прежде чем разрубить ее пополам...||||
UnderEmberianJ3|Но Базальт считает, что нам следует держаться в стороне — оценить ситуацию, пока вы двое ведете свою ((беседу)). И, как бы мне ни было противно это признать, ублюдок обычно ((прав)).||||
UnderFrostJ1|<<Фрост смотрит на Колыбель в безмолвном благоговении, его прежняя восторженность замерла на месте.>>||||
UnderFrostJ2|Я... эм. Э-э.||||
UnderFrostJ2b|Пожалуйста, прости мою косноязычность. Я совершенно потрясен.||||
UnderFrostJ3|<<Он на мгновение замолкает, обдумывая свои слова.>>||||
UnderFrostJ4|В вопросах религии, Исповедник, я сын своего отца. И своей матери, если уж на то пошло. Отступники до конца, они бежали из своей родины, чтобы не преклоняться ни перед каким богом.||||
UnderFrostJ5|Но... это место. Сила, промышленность, ((знания)), которые оно представляет... ##Я не могу найти другого слова для этого, кроме 'священного'.||||
UnderFrostJ6|((Это)) ли то, что верующие чувствуют к своим богам?||||
UnderFrostJ7|<<Вы стоите в тишине вместе минуту или две, глядя на Колыбель.>>||||
UnderFrostJP1|Что случилось?||||
UnderFrostJP2|Ага. Я тоже.||||
AngelA1|<<Гигантское существо, нависающее над вами, излучает ужасающую энергию — тошнотворную силу, от которой дрожат кости и искажается разум.>>||||
ShadeA1|<<Фигура оглядывается вокруг, прикрывая глаза.>>||||
ShadeA2|Мой сын! Ты видел моего сына? Я потеряла его в толпе, и не могу услышать его из-за криков...||||
ShadeA3|<<Голова фигуры резко поворачивается к вам.>> ##Некогда для глупостей! Весь город бежит, а моего сына унесло в этой суматохе. Если ты не поможешь, уйди с дороги. ||||
ShadeA4|Мой сын! Мой единственный сын потерян... и... ##<<Фигура сгибается, судорожно рыдая...>>||||
ShadeA5|И я не хочу умирать в одиночестве...||||
ShadeAP1|Толпы? Крики? Здесь никого нет. ||||
ShadeAP2|Чего ты так боишься?||||
ShadeAP3|Я... надеюсь, ты найдешь своего сына.||||
AvatarA1R|Снова приветствую, незнакомец. Я... не думаю, что ты хотел бы посмотреть пьесу, прежде чем я стану неактивен?||||
AvatarA1|Ах, добро пожаловать, посетитель! Пожалуйста, займите свое место. Шоу начнется с--||||
AvatarA2|<<Фигура замирает. Хотя ее лицо напоминает статую, оно выражает внезапный ужас.>>||||
AvatarA3|Сеть шифров... разорвана? Генераторы энергии... отключены. Население города... ((пять))? ##Нет... нет, нет, нет... это невозможно...||||
AvatarA4|Не будь глупым, прошло... ##<<Она на мгновение замирает, глаза бегают между невидимыми целями.>> ||||
AvatarA5|Прошло... ((много)) человеческих жизней с тех пор, как меня в последний раз вызывали... ||||
AvatarA6|((Все?)) Но здесь жили полмиллиона душ! Полмиллиона... исчезли?||||
AvatarA7|Это не имеет смысла. Что случилось с остальной Эмберианской Империей? Почему они не прислали помощь?||||
AvatarA8|Но это невозможно. Чтобы уничтожить Империю, потребовалось бы событие колоссального разрушения! Что-то более мощное, чем даже --||||
AvatarA9|Империя не оставила бы этот город гнить. Никогда! Но это значит... ##<<Фигура оглядывается на больное небо и разрушенный горизонт.>>||||
AvatarA10|...Этого не может быть. Империя ((не могла)) быть уничтожена. Для этого потребовалось бы что-то более мощное, чем даже --||||
AvatarA11|<<Они медлят мгновение, словно поглощённые неким откровением.>> ##Могущественнее бога. ||||
AvatarA12|Тогда скептики были правы. Колыбель была проклята, и те шифровальщики принесли лишь гибель.||||
AvatarA13|Ты можешь увидеть это снаружи. ##Часть корабля, часть лаборатории. Лучшие и ярчайшие умы трудились над этим годами.||||
AvatarA14|Это чудо шифровальной науки, призванное открыть новую эру человеческого прогресса. Говорят, что оно содержит сущность невероятной силы.||||
AvatarA15|Ну, автокареты явно вышли из строя, так что тебе придется телепортироваться между кристаллами транспорта.||||
AvatarA16|Похоже, в городе остался только один заклинатель телепортации. Долгота: три-семь-шесть, широта: пять-девять. ##Это... старый военный бункер, глубоко под землей. ||||
AvatarA17|Мои записи указывают, что до него можно добраться через подземные туннели города... и через потайной проход в библиотеке. ##Но это все, что я знаю об этом.||||
AvatarA18|Я обязан сообщить вам, что только лица класса C и выше имеют право использовать заклинания телепортации. ##Но... полагаю, это уже не имеет значения. ||||
AvatarA19|Это вопрос, на который многие хотят знать ответ, но Надзиратели держат его под замком. Доступ только для лиц класса A.||||
AvatarA20|Тем не менее... слухи просочились с Симпозиума. Что они создают что-то ужасного потенциала, что может пересоздать мир заново.||||
AvatarA21|За распространение таких слухов меня обычно уничтожали бы. Но, полагаю, мой надзиратель не в состоянии этого сделать. ##Странно освобождающе — говорить так свободно. ||||
AvatarA22|И я обязан отвечать на все вопросы. ||||
AvatarA23|Что я... такое? Простите мое удивление, меня никогда не спрашивали о таком. Времена действительно изменились.||||
AvatarA24|Я — аватар Эмберианской Империи. Конструкция из шифра, созданная для имитации человеческой личности. Я существую, чтобы служить нуждам и прихотям населения. ||||
AvatarA25|Здесь я управляю этим амфитеатром. Меня выбрали за мою любовь и знание драмы. Я запомнил сотни пьес и могу исполнять их, визуализируя актеров-призраков. ||||
AvatarA26|Но мое соединение с сетью шифров разорвано. Мой источник энергии иссякает, и я уже чувствую, как мой шифровальный разум деградирует. ||||
AvatarA27|Это странно. Я тысячу раз произносил глубокомысленные слова о смерти и смертности, но я все еще не чувствую себя... готовым. ||||
AvatarA28|Альбертус — третий по величине город в Эмберии и шестой в Империи. ##Или, полагаю, ((был)). ||||
AvatarA29|Это был город, известный своими научными достижениями. Каждый день тысячи людей заполняли сети автокарет, направляясь в свои рабочие залы. Каждый день сеть шифров совершенствовалась и расширялась ради блага Империи.||||
AvatarA30|Говорили, что этот город будет процветать тысячу лет. ||||
AvatarA31|Как пожелаете.||||
AvatarA32|<<Лицо аватара бесстрастно, но вы клянетесь, что слышите нотку печали в его голосе.>> ##Как пожелаете. Пожалуйста, наслаждайтесь нашим прекрасным городом.||||
AvatarAP1|Успокойся. Что бы здесь ни случилось, это произошло давно.||||
AvatarAP2|Ага, все здесь давно мертвы. ||||
AvatarAP3|Эмберианцы мертвы. Поверхность планеты — лишь пепел. ||||
AvatarAP4|Ты же Эмберианец, верно? Почему ((ты)) не можешь ((мне)) сказать? ||||
AvatarAP5a|Подожди, ты сказал Колыбель?||||
AvatarAP5b|Расскажи мне больше о Колыбели.||||
AvatarAP6|У меня есть вопросы об этом месте...||||
AvatarAP7|Мне лучше пойти.||||
AvatarAP8|Мне нужно туда подняться. Ты можешь помочь? ||||
AvatarAP9|Что внутри Колыбели?||||
AvatarAP10|У меня есть другие вопросы, которые я хочу задать.||||
AvatarAP11|Что ты такое?||||
AvatarAP12|Можешь рассказать мне об этом городе? ||||
AvatarAP13|Это все, что я хотел знать. ||||
ShadeB1|Эта проклятая автокарета опоздала ((снова!)) Я ((не могу)) опоздать. Я отстаю от квоты! Мой класс может понизить... о, боги... ||||
ShadeB2|Водитель опоздал — ((снова)) — так что двери плотно закрыты.||||
ShadeB3|Тебе понадобится как минимум пропуск класса C, чтобы обойти эти двери. Не то чтобы ты нашел граждан класса C, общающихся с нами, пассажирами — они будут в благородном районе, любуясь грибной флорой. ||||
ShadeB4|Хм? О какой ерунде ты говоришь? Я работаю на одну из ведущих компаний по шифровальным заклинаниям в Империи, и у них ((высокие стандарты!))||||
ShadeB5|<<Фигура внезапно оглядывается.>> ##Подожди, что это за свет? Здесь становится очень жарко...||||
ShadeBP1|Мне нужно пройти мимо этого вагона. Есть идеи?||||
ShadeBP2|Я не уверен, что твои работодатели будут возражать, учитывая, что они мертвы.||||
ShadeBP3|Удачи с этим.||||
UnderVela1|<<Вела стоит с достоинством, ее команды громко разносятся по залу, а наемники Темных Звезд суетятся по ее приказу.>>||||
UnderVela2|<<Голова Велы резко поворачивается, ее глаза устремлены на вас. Она поворачивается, положив одну руку на рукоять меча.>>||||
UnderVela3|<<Вы крадетесь к Веле, ваши шаги заглушены шумом. Вы почти достаточно близко, чтобы вмешаться, когда ее голова резко поворачивается; ее глаза устремлены на вас.>>||||
UnderVela4|((Тишина!)) <<Голос Велы прорезает воздух, ее пронзительный взгляд встречается с вашим.>>||||
UnderVela5|Незваный гость? ((Здесь?)) Мы ((лиги)) под Небесными Землями, в месте столь же опасном, сколь и негостеприимном. Ты должен быть невероятно способным или ((крайне)) глупым, чтобы последовать за мной сюда. ||||
UnderVela6|<<Она прищуривается.>> Погоди-ка — ты тот щенок, который осмелился подойти ко мне на Ослепляющем Свете, не так ли? ##<<Тонкая улыбка расползается по ее губам.>> Боже, ты проделал долгий путь, инквизитор. Я почти не узнала тебя. ||||
UnderVela7|Но у тебя должна была быть помощь. <<Она задумывается на мгновение.>> ##Только Орлайт видела карту, которая привела сюда. Она не решилась бы отправиться сюда одна — так что Базальт, должно быть, убедил ее. ||||
UnderVela7a|И если он собирал команду, Какстон Фрост был бы на вершине этого списка. Возможно, и Герцогиня тоже...||||
UnderVela8|<<Она качает головой.>> Но это не мог быть только Базальт. Он никогда бы не присоединился к Инквизиции без убеждения. Это мог быть только... ((Каэр)). ||||
UnderVela9|Ты не отрицаешь? <<Она усмехается.>> ##Итак, группа предателей, возглавляемая неопытным Инквизитором, пришла, чтобы кусать меня за пятки. Скажи мне — чего ((именно)) ты надеешься достичь? ||||
UnderVela10|((Безумие?)) Ха! Это ((они)) утверждают? ##Это люди ((Небесных Земель)) потеряли всякий смысл. Я лишь стремлюсь все исправить. ||||
UnderVela11|<<Она отпускает дерзкий смешок.>> И почему я должна доверять таким, как ((ты))? Даже если бы мне понадобилась помощь — а она мне ((совершенно не нужна)) — почему я должна принимать ее от шпиона Инквизиции? ||||
UnderVela12|Так при первой же возможности ты прибегнешь к насилию и варварству? <<Она цокает языком.>> ##Такое эгоцентричное мышление — вот что ((не так)) с этим миром. ||||
UnderVela13|<<Она указывает на аберрантное существо, заполняющее ваше зрение.>> ##((Это)) невероятное существо будет нашим спасением. Оно исцелит наш разрушенный мир и уничтожит зло человечества. ||||
UnderVela14|Все, что нам нужно сделать, — это ((пробудить)) его, и мы почти ((готовы)). ||||
UnderVela15|Некоторые назвали бы его ((богом)) — но это принизило бы его силу, ибо боги принадлежат ((этому)) миру и связаны его ((правилами)).||||
UnderVela16|Это существо из ((Пустоты)): не-места чистого творения, где время и пространство действуют загадочным образом. Мы не знаем, вырвали ли Эмберианцы его целиком из этого мира или соткали его плоть из пустоты.||||
UnderVela17|В любом случае, на древнем Эмберианском диалекте они называли его [[Ангелом]] — в честь мифических существ средневекового фольклора. ||||
UnderVela17a|Реальность формируется из семиотики шифра. Это язык, который течет через все вещи; ((истина)), скрытая за иллюзией, танцующей перед нашими глазами.||||
UnderVela18|С изучением мы можем научиться изменять его поток, его ритм. Мы можем подправить слово здесь, изменить предложение там, и это основа всей магии. ||||
UnderVela19|Что мы не можем сделать, так это изменить сам язык шифра. Есть строгие правила, которым мы должны следовать; абсолютные и непреложные пределы возможного. ||||
UnderVela20|Но это существо перед нами? Будучи из Пустоты, оно фундаментально отделено от наших законов. Оно обладает силой изменить саму ((сущность)) реальности.||||
UnderVela21|<<Она усмехается.>> Я изменю ((все)).||||
UnderVela22|<<Она усмехается.>> Этот процесс не лишен опасностей.||||
UnderVela23a|Эмберианцы называли эту штуку [[Ангелом]], и если бы им удалось пробудить его, их тирания поработила бы мир на вечность. ||||
UnderVela23b|Эмберианцы построили эту структуру как инкубатор для Ангела, и если бы им удалось пробудить его, их тирания поработила бы мир на вечность.||||
UnderVela24|Нам повезло, что произошло ((меньшее)) зло; ибо, пробудив Ангела, они вызвали Мировой Разлом и почти уничтожили все существование. ||||
UnderVela25|Но мы научились на их ошибках. Мы используем Ангела, чтобы превратить этот мир в Рай, где каждая душа свободна и равна. ||||
UnderVela26|За последние несколько лет я собрала некоторых из самых выдающихся шифровальщиков. С правильными заклинаниями мы предотвратим синтаксический каскад. В этом мы... ((почти)) уверены.||||
UnderVela27|И, в любом случае, разве награда не стоит риска? То, что осталось от этого мира, едва ли стоит спасать — но я подниму нас до чего-то более благородного, чем когда-либо знала история.||||
UnderVela28|Ты считаешь себя философом, говоря в абсолютных терминах. Но даже если ты определишь ((свободу)), которую я дарую, как своего рода ((тиранию)), она будет несравненно предпочтительнее нынешнего положения дел. ||||
UnderVela29|<<Она усмехается.>> Мне не нужна твоя ((похвала)). Я думала об этом, и ни о чем другом, столько лет. Я ((знаю)), что это стоит риска. ||||
UnderVela30|<<Ее глаза сверкают, глядя в твои.>> ##Видишь ли, инквизитор, в нас столько ((красоты)). Столько величия, столько ((потенциала)). ||||
UnderVela31|Я плавала по Небесным Землям и видела такие чудеса. ##<<Она машет рукой.>> Нет, не пустотные обелиски Аль-Асфары или тысяча шпилей университета Бьонна... ||||
UnderVela32|Я видела монахинь Странствующего Госпиталя, ухаживающих за своими врагами. Я видела, как человек отдал свою жизнь баронам крови Терена, чтобы незнакомец мог жить. ||||
UnderVela33|<<Она вздыхает.>> Я видела ребенка — недавно осиротевшего, ее лицо в крови — предложившего мне ((последний)) кусок хлеба.||||
UnderVela34|<<Она делает шаг ближе.>> Но куда бы я ни отправилась, я видела, как надежды и мечты простых людей ((разбиваются)) угнетателями; будь то Союз, Викканцы или другие. Везде, куда я иду, бедные корчатся в грязи, чтобы богатые могли спать в шелках. ||||
UnderVela35|Когда-то я думала, что мой меч может исправить зло этого мира — что ((мораль)) и ((этика)) могут направлять мой клинок. Но я видела слишком много горящих небесных кораблей и слишком часто вдыхала запах человеческой плоти, чтобы все еще верить в это. ||||
UnderVela36|По правде говоря, я потеряла надежду — пока не увидела видения ((Ангела)) через онейрический интерфейс Эмберианской карты. Тогда я поняла, чего можно достичь.||||
UnderVela37|О, но с Ангелом мы ((смогли бы)). Он может изменить ((все)) в этом материальном мире... ##Но не смотри так испуганно. Это не обязательно должно дойти до этого. ||||
UnderVela38|<<Ее взгляд становится пламенным.>> Я бы наделила ((всех)) силой, чтобы каждый крестьянин стоял наравне со своим господином. Я бы притупила каждый меч, разбила каждую пушку — чтобы ни капли крови не пролилось. ||||
UnderVela39|<<Она опускает взгляд, ее выражение внезапно становится уязвимым.>> И... я бы изгнала ((саму смерть)), чтобы ни одно сердце больше не было разбито. ##((Это)) будет наш Рай, и скоро он будет нашим. ||||
UnderVela40|<<Она кивает.>> Точка невозврата, за которой ни один прорицатель не может увидеть. Лабиринт возможностей, непостижимый для смертных умов...||||
UnderVela41|Но нужно быть готовым плыть в неизвестное, если хочешь настоящих перемен. Лучше это, чем оставаться в неизбежных страданиях. ||||
UnderVela42|((Свобода?)) Какие ((свободы)) у нас есть в этом разрушенном мире? Только потому, что мы можем рубить друг друга на куски, это не значит, что мы ((свободны)). ||||
