Dialogues:|Clockwork||||
p129|Итак, об этих поклонниках богов...||||
cul80|<<Он наклоняется.>> Ты что-нибудь слышал?||||
p130|Что именно делает старые пути такими плохими? ||||
p131|Есть ли у тебя идеи, кого мне стоит спрашивать?||||
cul81|<<Он поглаживает подбородок.>> Ну, ты мог бы попробовать нашего мэра, Олвен, но... честно говоря, она часто витает в облаках, и я сомневаюсь, что она ((знает)), что происходит с ее избирателями. ||||
cul82|Но, учитывая, что все это связано с торговлей грибами, я бы попробовал спросить в [[Компании Скригрибов]] у дока. Ее владелец, [[Двинн]], определенно имеет много ((выгоды)) от лучших урожаев... ||||
p132|Об этих Священных Грибах...||||
p133|Это все.||||
cul83|Ладно.||||
p134|Я нашел доказательства поклонения богам в Пвилле. ||||
cul84|<<Он наклоняется ближе.>> О, да? ((Расскажи)) мне, почему бы и нет? ||||
p135|Я видел кого-то в мантии, прячущегося ночью.||||
cul85|Хм, это действительно подозрительно - но само по себе я не могу ничего сделать с такими доказательствами. Можешь попробовать найти, куда они ((шли?)) Если они действительно ((были)) Викканом, там должно быть что-то вроде... ((ритуала)), может быть. Признаки того, что кто-то пытается возродить контракт... ||||
p136|В пещерах под Пвиллом были оккультные инструменты.||||
cul86|<<На мгновение он просто смотрит мимо вас; задумавшись.>> ##Это может означать только одно.||||
cul87|Если кто-то проводит ритуалы вокруг трупа Аэнгуина, это значит, что они пытаются возобновить кровный контракт. ##Но в этих условиях была ((ужасная цена))... не меньше, чем [[человеческая жертва]].||||
cul88|Вот, возьми [[этот ключ]]. Он откроет верхнюю камеру в [[Священном Грибе на западе]].||||
cul89|Тот [[ключ]], который ты нашел? Он откроет верхнюю камеру в [[Священном Грибе на западе]].||||
cul90|Нет сомнений в моем уме. Кого-то ведут в Священный Гриб, чтобы метаболизировать - согласно условиям контракта. ##Ты должен [[пойти туда и ((спасти их!))]]||||
p137|Ты сказал ((метаболизировать))?||||
cul91|В старые времена Священные Грибы были по всему Пвиллу. Каждый порождал целый лес скригрибов, но только... только если они недавно метаболизировали человека.||||
cul92|Я не уверен, используют ли скригрибы ((часть)) человеческого тела для достижения своего эффекта, или это было просто частью божественного ((издевательства)) Аэнгуина - но я знаю, что скригрибы были более мощными в старые времена. ||||
cul93|Теперь остался только один Священный Гриб - глубоко в грибном лесу на западе. Все остальные засохли и умерли, когда мы перестали кормить их плотью. ||||
p138|Как мне попасть в этот... гриб?||||
cul94|Ну, тебе нужно будет пройти через грибной лес. Ты не пропустишь сам гриб; это, наверное, самый большой гриб, который ты когда-либо видел.||||
cul95|Учитывая, что он использовался Викканами в прошлом, вокруг гриба есть двери и пути. [[Главные двери]] приведут тебя через центральный стебель; но там может быть целая куча мерзких монстров, готовых разорвать тебя на части.||||
cul96|Так что ты мог бы попробовать найти [[обходной путь]]. Он, вероятно, будет заперт, но у тебя будет меньше боев на этом пути. ||||
p139|Ладно, я сделаю все, что в моих силах.||||
cul97|Я рассчитываю на тебя, понял? ||||
p140|Я посетил Священный Гриб и узнал, что происходит. ||||
cul98|Я был прав? Там происходила ((жертва))?||||
p141|Это был Ллудд. Он пожертвовал собой, чтобы Пвилл процветал.||||
cul99|<<Кулвич отшатывается, пораженный.>> О, не бедный ((Ллудд))? Я был на его ((крещении)), заботился о том мальчике, как будто он был... <<Он задыхается от слов.>>||||
cul100|О, этот ((глупый)) мальчик. Урожаи не стоят ((цены крови)) Аэнгуина - разве не этому я его всегда учил?||||
cul101|<<Он тяжело вздыхает.>> Все равно, ты докопался до сути того, что происходит, и за это ты заслужил мою благодарность. ||||
p142|Это был Ллудд. Он пытался пожертвовать собой, но мне удалось его отговорить. ||||
cul102|<<Кулвич вздыхает.>> О, этот ((глупый)) мальчик! Урожаи не стоят ((цены крови)) Аэнгуина - разве не этому я его всегда учил?||||
cul103|Но, похоже, ты ((остановил)) его, новичок; и за это ты заслужил мою искреннюю благодарность. Это не много, но, как я и обещал... ||||
cul104|Вот, возьми этот [[Паспорт Союза]]. Он позволит тебе пройти через [[мост на юг]], ведущий в [[Хэллоушир]].||||
cul105|Будь осторожен там. Если ты думаешь, что урожаи в Пвилле плохи, ты еще ((ничего)) не видел. Хэллоушир в разгаре ужасного голода, и, похоже, у горожан и нашего бедного Ллудда были схожие... ((идеи)).||||
p143|Я нашел Викканские антиквариаты в подвале мэра Олвен. ||||
cul106|<<Он поглаживает подбородок и стонет.>> ((Олвен)), говоришь? Может ли это быть...? ||||
cul107|<<Он качает головой.>> Но нам нужно больше, чем просто это - во многих старых домах есть вещи, которые заставят Виккана покраснеть. Я не хочу делать поспешных выводов; так что нам нужно ((больше.))||||
cul108|Знаешь, люди здесь не глупы. Я думаю, что любые подозрительные дела будут происходить под ((покровом темноты)). Почему бы тебе не попробовать [[отдохнуть]] до ночи? Я знаю, что Двинн [[сдает комнату]] для проезжающих. ||||
olwen1|<<Женщина сидит с закрытыми глазами, на лице выражение боли. На шее висят различные медальоны и ожерелья, что говорит о ее важном положении здесь, в Пвилле.>>||||
olwen2|<<Она бормочет под нос:>> Пламя, о ((пламя))! Мы должны потушить ((пламя))...||||
p200|Эээ, все в порядке?||||
p201|((Ничего не говори)).||||
olwen3|<<Она продолжает бормотать себе под нос, качая головой из стороны в сторону, пока не вздрагивает и не просыпается.>>||||
olwen4|Ах! <<Она смотрит на вас с безумной интенсивностью.>> ##Что ты делаешь? Ты должен ((уйти)) отсюда! Наутилоб ((сожжет тебя заживо))!||||
p202|О чем ты говоришь?||||
olwen5|Ты разве не ((видишь)) его? Монстра, поднимающегося над пламенем? О, ((ужас...)) Мы должны...||||
p203|Ничего не горит, леди. ||||
olwen6|Ты глупец, даже ((ты)) в огне! О, как кожа плавится с твоих костей! Мы должны...||||
p204|Не ((наутилоб))! Что дальше - ((фланганип))?||||
olwen7|Ты ((шутишь)), но гигантский наутилоб - это не ((шутка))! Как ты думаешь, что вызвало все это разрушение? Мы должны...||||
olwen8|<<Она останавливается на полуслове и моргает, медленно. Через мгновение она говорит,>> ##...Ничего не горит, да?||||
p205|Нет.||||
p206|Ты шутишь? Я сгорел дотла.||||
olwen9|О, как ((неловко))! Мне очень жаль, ты застал меня во время гадания. ##Меня зовут [[Олвен]], мэр этой скромной деревни Пвилл. Как поживаете?||||
p207|Ты сказала ((гадание))? Мы умрем?||||
olwen10|<<Она нервно смеется.>> О, Небесные Земли, конечно нет! Есть только определенная ((возможность)), что мы сгорим заживо.||||
p208|Галлюциногенные наркотики - это часть твоих обязанностей как мэра, или...?||||
olwen11|<<Она моргает на вас.>> Ну... ((конечно))! Галлюциногенные наркотики - наш главный экспорт здесь, в Пвилле. С моей стороны было бы упущением не приобщиться!||||
p209|Приятно познакомиться.||||
olwen12|<<Она делает короткий реверанс.>> Спасибо за понимание. Я была довольно обеспокоена будущим, как ты, несомненно, заметил...||||
olwen13|Видишь ли, я столкнулась с довольно ((сложной дилеммой)). Это действительно ((ничего)) серьезного, так что, пожалуйста, не поднимай шума! У меня все ((полностью)) под контролем.||||
olwen14|Я просто предавалась медитации на скригрибах, чтобы узнать, какую угрозу может представлять этот [[гигантский монстр]]. И, эээ, оказывается, это не такая уж большая проблема. <<Она сглатывает.>>||||
p210|Подожди, что это за ((гигантский монстр))? ||||
olwen15|О, так это не общеизвестно? <<Она выглядит искренне облегченной.>>##Я думала, что весь город уже говорит об этом... ||||
p211|Насколько ((надежны)) эти гадания?||||
olwen16|О, в Пвилле мы гордимся тем, что наши гадания на скригрибах ((всегда)) надежны. Кроме, эээ, когда они не надежны. ##Иногда наркотик может усилить надежды и страхи пользователя, делая видение более... ((фантастическим)), чем пророческим. ||||
p212|Ну, похоже, у тебя ситуация полностью под контролем.||||
olwen17|Подожди! ##<<Она кричит это слово, затем нервно смеется.>> То есть... когда я говорю, что это не ((большая)) проблема, я, пожалуй, немного приукрасила ситуацию...||||
olwen18|Видишь ли, небольшая группа наемников выдвинула определенные, эээ, требования. Нет, я не про Темные Звезды Велы - эти ребята гораздо менее, эээ, ((опытны)) - что делает еще более загадочным, как они заполучили [[гигантского наутилоба]]. ||||
p213|Что такое наутилоб, вообще?||||
olwen19|<<Она машет рукой.>> Просто моллюск из Небесных Земель, который водится в этих краях - легко узнаваем по своим раковинам. Но я понятия не имела, что они могут быть такими ((большими))!||||
p214|Так что - ты хочешь ((моей)) помощи?||||
olwen20|О ((нет))! Я никогда не говорила ничего подобного - как мэр этого места, у меня все полностью под контролем. ##<<Она сужает глаза.>> Конечно, это не значит... ||||
olwen21|Эти наемные негодяи угрожают мне своим огромным наутилобом. Они утверждают, что разграбят город, если я не выполню их абсурдные требования. Я ((действительно)) не хочу вызывать панику в городе, так что я в растерянности, что делать. ||||
olwen22|Но, если ((кто-то)) смог бы пробраться в их крепость на [[юго-восток]], и выяснить, есть ли у этого [[наутилоба]] какая-то [[слабость]], которую мы могли бы использовать... ну, скажем так, этот человек оказался бы в моей милости. ||||
p215|Я посмотрю, что могу сделать. ||||
olwen23|<<Она дает вам хитрую улыбку.>> Очень хорошо. ##Теперь, было ли что-то еще? ||||
p216|Что, если эти наемники ((исчезнут?)) ||||
olwen24|О! Ну, это было бы настоящей трагедией. Мысль о том, что на земле Пвилла прольется еще больше крови, ((ужасна)).||||
olwen25|<<Ее глаза сужаются.>> Но, конечно, это ((решило)) бы проблему здесь, не так ли? И с такими небольшими средствами для найма охраны, было бы ((очень)) трудно поймать виновника такого преступления... ||||
olwen26|<<Она внезапно улыбается.>> О, но не обращай на меня внимания! Я просто думаю вслух. Теперь, было ли что-то еще?  ||||
p217|Я не буду иметь с этим ничего общего. ||||
olwen27|<<Она подмигивает.>> О, ((конечно)) ты не будешь. - Я бы и не мечтала! ##Теперь, было ли что-то еще? ||||
olwen28|А, ты вернулся. <<Она вздыхает.>> Полагаю, у меня есть несколько минут поговорить.||||
p218|Наемники говорят, что ты им никогда не платила.||||
olwen29|Ну, я никогда не платила им полную сумму, нет. Но это потому, что они устроили ((ужасный)) бардак!||||
olwen30|Я наняла их, чтобы очистить окрестные леса от нескольких наутилобов. Они убили жалких ((три)), а затем им пришлось отступить, потому что один из их людей споткнулся и упал на собственное копье. Нет, ну что это за идиоты ((вообще))? ||||
p219|Тебе больше не нужно беспокоиться о том гигантском наутилобе.||||
olwen31|О, правда? Почему, это ((прекрасная)) новость! Пожалуйста, расскажи подробности...||||
p220|Ну, я убил их лидера. Сомневаюсь, что они будут тебя больше беспокоить. ||||
olwen32|Ах. О. О боже. ||||
olwen33|Нет, то есть, хорошо, что вопрос решён. Очень хорошо. Но, чтобы быть совершенно ясной - я никогда ((не просила)) тебя убивать кого-либо, верно?||||
p221|Вообще-то, ты сильно намекала, что я могу.||||
olwen34|Ахах. Ха. Ну, это ((твоя интерпретация)), дорогой. Давай оставим это так, ладно? ||||
p222|Ну, ты не сказала, что я ((не могу)).||||
olwen35|Это интересная интерпретация моей просьбы. Давай просто больше не будем говорить об этом, ладно? ||||
p223|О, и еще кое-что - этот гигантский наутилоб? Это была иллюзия.||||
olwen36|<<Маньяческая улыбка расползается по ее губам.>> О! Это просто замечательно. Мы убили кучу наемников, и оказывается, они ((невиновны)).||||
olwen37|Я скажу тебе что - я дам тебе эту [[награду]]. По-настоящему заслуженная награда за работу, выполненную на отлично. И как ((часть)) этой награды, да, мы больше никогда не будем говорить об этом ((никогда)), верно?||||
olwen38|<<Смертельно серьезное выражение охватывает ее лицо.>> Ни. С. ((Кем)). ||||
olwen39|<<Она расплывается в веселой улыбке.>> Ну, это решено, да? ||||
p224|Наутилоб был иллюзией, не более. ||||
olwen40|О! О боже! ((Правда?))||||
olwen41|...Не могу поверить, что я не подумала об этом! Так город спасен? Мы не сгорим заживо? Ура!||||
olwen42|В любом случае, пожалуйста, прими эту [[награду]] вместе с моей искренней благодарностью. Ты оказал Пвиллу большую услугу сегодня. ||||
p225|Об этом гигантском наутилобе...||||
olwen43|О, да... Я предполагаю, он все еще ((там?))||||
p226|Я ищу наемников Темных Звезд.||||
olwen44|О ((пожалуйста.)) Если я услышу еще одно слово об этих проклятых ((Темных Звездах...)) <<Она качает головой.>>||||
olwen45|У нас всегда была своя доля негодяев, привлеченных в Пвилл - оказывается, не одних только ((поэтов и садоводов)) манит уединение сельской глуши...||||
olwen46|Но когда эта несчастная ((Вела Каллос)) переехала сюда со своими приспешниками, ты не ((поверишь)), каких только негодяев не развелось на наших идиллических мощёных улочках. ##<<Она вздыхает.>> И теперь, ко всему прочему, у нас ((Инквизиция)) совершает рейды на остров! ||||
olwen47|Так что, прости, но если ты имеешь дело с этими негодяями, я действительно не могу тебе помочь. Может, тебе повезет больше с кем-то другим в городе.||||
p227|Ты знаешь что-нибудь о ((поклонении Викканам)) здесь?||||
olwen48|Поклонение богам? В ((Пвилле))? Конечно нет. Большинство горожан, которые достаточно стары, чтобы помнить, активно ((наслаждаются)) смертью их бывшего бога Аэнгуина, за все ужасные вещи, которые он сделал. ||||
p228|Я встретил твоего сына, Ллудда. ||||
olwen49|О! Да, мой ((дорогой)) мальчик. Опять болтался без дела на дороге? Я никак не могу заставить этого мальчика заняться ((учением)), как бы я ни старалась... ||||
olwen50|<<Она вздыхает.>> Но я не должна быть слишком строга к нему. В Пвилле нет других детей его возраста, и мои обязанности мэра держат меня ((так)) занятой...  ##((О, это напоминает мне - почти время для моих бодрящих напевов...))||||
p229|О твоем сыне...||||
olwen51|О, так ((ты)) тот бдительный незнакомец, который спас моего сына? Я действительно ((не могу)) достаточно поблагодарить тебя - я не знаю, что бы я сделала, если бы он... ||||
olwen52|<<Она шмыгает носом, слезы на глазах.>> Я знаю, что иногда могу быть ((рассеянной)), но это только потому, что я хочу, чтобы Пвилл был идеальным ((домом)) для Ллудда. Думаю, я зашла слишком далеко, учитывая то, что он попытался ((сделать))...||||
olwen53|Пожалуйста, я хочу, чтобы у тебя была самая ценная вещь, которой я владею...||||
olwen54|...эти [[целебные травы]] из моего сада. Нет ничего более ценного, чем ((дары природы)),||||
olwen55|О, так ты слышал о его... кончине? <<Она шмыгает носом, слезы на глазах.>>||||
olwen56|Я просто никогда не ожидала, что он ((сделает)) такое. Все, что я делала здесь, в Пвилле, было для ((него)). Потерять его так, это просто...||||
olwen57|<<Она вытирает слезы.>> Мне жаль, но мне нужно немного времени... наедине... ||||
p230|У меня были вопросы об этом городе.||||
olwen58|<<Она вздыхает.>> Как мэр Пвилла, я, конечно, ((чрезвычайно)) занята, но... <<Она бормочет себе под нос.>> ...((Полагаю, я могу отложить свой медитативный танец на потом.))||||
p230b|Какая история у этого места?||||
olwen59|Ну, до [[Войны Богов]], Пвилл поклонялся божеству по имени Аэнгуин. Должна признать, это было до моего времени - но я слышала, что он был особенно ((жестоким)) - вероятно, поэтому жители деревни совершили деицид, пронзив этого ублюдка копьем пустоты. ||||
olwen60|После войны близлежащая крепость пришла в упадок и стала идеальным местом для бандитов и наемников. Пвилл оказался вовлечен в целую кучу ((незаконных)) дел, что привело к тому, что предыдущий мэр был заключен в тюрьму по обвинению в вымогательстве...||||
olwen61|Видишь ли, он украл Викканский артефакт и отрастил шесть конечностей, как раз когда Инквизиция начала серьезно бороться с ((вымогательством)). ||||
olwen62|И вот тогда ((я)) случайно проходила мимо. Жители Пвилла решили, что новый мэр будет выбран в конкурсе садоводства. Я вырастила небольшой сад гимнальных гортензий, которые могли петь в трех октавах, и ((вот)) и ((все)).||||
olwen63|О, у Пвилла долгая и увлекательная история. Знаешь ли ты, что во всем Союзе Вероотступников мы выиграли ((гораздо больше)) сельскохозяйственных конкурсов за ((качество)) нашей продукции? Или что, несмотря на свои размеры, наши фермы скригрибов могут соперничать с садами Бьонна по урожайности?||||
olwen64|<<Она машет рукой.>> О, и есть еще драма [[ужасного бога]] Пвилла, который был убит своими же поклонниками - но это все было до моего времени, так что тебе придется спросить [[весовщика Кулвича]] об этом, боюсь.||||
olwen65|Видишь ли, я стала мэром этого места несколько ((случайно.)). Я проходила мимо, как раз когда жители выбирали нового мэра - ведь предыдущий был внезапно - если не ((неожиданно)) - заключен в тюрьму по обвинению в вымогательстве.||||
olwen65b|Конкурс мэра был на садоводство. Я вырастила небольшой сад гимнальных гортензий, которые могли петь в трех октавах, и ((вот)) и ((все)).||||
p231|Так подожди, ты на самом деле не ((из)) Пвилла?||||
olwen66|О, совсем нет. Я из очень важной семьи в Лунделе, и просто путешествовала по Островам Грёз, чтобы избежать ужасно ((унылых)) звездных циклов, которые у нас там есть. ||||
olwen67|Не могу сказать, что традиционно для такой деревни, как Пвилл, выбирать мэром постороннего, но, думаю, они приняли эту идею довольно хорошо. Разве что иногда мне забросят в окно наутилоба или прибьют к двери слабительное заклятие. ||||
p232|Ладно, я понял. ||||
olwen68|Было ли что-то еще? ||||
p233|Ты, кажется, очень увлечена этим галлюциногенным чаем. ||||
olwen69|<<Она морщит нос.>> Скригриб Пвилла - это не просто ((галлюциноген)); он погружает сознание в поток времени. Другими словами, он позволяет тебе ((видеть будущее)).||||
p234|Если это правда, почему его не пьют все?||||
olwen70|Ну, наша почва засушлива, и урожаи плохи, так что мы не можем удовлетворить спрос! Есть также вопрос, ((кхм)), его переменной эффективности...||||
p235|Звучит мощно. ||||
olwen71|О, он ((чрезвычайно)) мощный! Видения настолько интенсивны, что можно простить мысль, что они ((действительно)) происходят. Хотя... важно интерпретировать такие видения с долей осторожности. ||||
olwen72|Видишь ли, не ((все)), что предсказывают скригрибы, сбудется. Космос - это паутина бесконечных возможностей, и будущее не высечено в камне. Надежды и страхи пользователя также могут ((исказить)) видение, эээ, ((в редких)) случаях. ||||
olwen73|Они также известны тем, что вызывают... <<Она прочищает горло, затем быстро бормочет слова.>> ...((обмороки, тошноту, манию величия, крайнюю тревогу, аномально густые брови, независимо движущиеся конечности и смерть)).||||
olwen74|Но это еще больше причин использовать скригриб ((ответственно)), да? И они действительно ((очень)) полезны для пищеварения. ||||
p236|Ты знала, что в том старом форте была группа наемников?||||
olwen75|Ну, я была бы плохим мэром, если бы ((не знала)) этого, не так ли? По закону Союза, наемники - это совершенно законные организации. Проблема в том, что в мирное время они склонны к более... ((незаконным)) занятиям. ||||
olwen76|Находясь так далеко от столицы Риовы, Пвилл привлекал множество типов негодяев на протяжении многих лет. Они никогда не причиняли ((слишком)) много проблем; по крайней мере, пока не переехали Темные Звезды Велы. Глядя на их нынешние выходки, нипочём не поверишь, что когда-то это были самые уважаемые наёмники Союза! ||||
olwen77|Я уверена, ты заметил весь этот шум, доносящийся из старого форта Войны Богов? Союзу Вероотступников это наконец надоело, понимаешь. Самое время преподать этой ((Веле)) урок, но все эти взрывы действительно нарушают мой утренний распорядок. ||||
p237|Думаешь, какие-нибудь Темные Звезды могут прятаться в Пвилле?||||
olwen78|Ну, мы привыкли к тому, что случайные группы Темных Звезд заходят в город выпить или десять. Но помимо этого, я действительно не имею ни малейшего понятия. ||||
olwen79|Я знаю, что [[Нудд]] выполнял для них некоторые задания. Обычно его можно найти в [[местном магазине]] - почему бы тебе не попробовать побеспокоить - эээ, ((спросить)) его об этом? ||||
p238|Спасибо за информацию. ||||
olwen80|<<Она вздыхает.>> Было ли что-то еще?||||
p239|Прощай.||||
olwen81|До свидания. Ты сам найдешь выход, да? ||||
p240|Я нашел Викканские антиквариаты в твоем подвале. ((Незаконные)) такие.||||
olwen82|<<Она хмурится.>> Во-первых, что, черт возьми, ты делал в моем подвале? Я позволила тебе войти в мой дом как ((гостю)), а не для того, чтобы ты рылся в моих вещах!||||
olwen83|И что касается этих ((антиквариатов)), они просто остались здесь от предыдущего мэра. Я не имею к ним ((никакого)) отношения!||||
olwen84|Теперь, если ты не против, я думаю, тебе стоит уйти. ||||
dwynn1|Ах! Добро пожаловать, добро пожаловать; присаживайся. Если ты ищешь скригриб, ты пришел в нужное место. ##<<Он опирается на прилавок и смотрит на тебя выпуклым глазом.>> Ты знаешь, что делает скригриб ((вообще)), новичок? ||||
p300|Да.||||
dwynn2|Тогда ты слышал, что он показывает тебе ((будущее)). Но, видишь ли, это отпугивает некоторых людей, так как они боятся того, что могут увидеть. Я здесь, чтобы сказать тебе, что это не ((так)). ||||
p301|Нет.||||
dwynn3|Да где ж ты голову прятал всё это время? Скригриб показывает тебе твое ((будущее)), во всей его великолепной красе!||||
dwynn4|Нет ни одного шифрованного заклинания в Великой Библиотеке Бьонна, которое могло бы сделать то, что делает скригриб. Он погружает тебя в ((реку)) ((времени)), чтобы ты мог видеть изгибы и течения, приближающиеся к тебе. ||||
dwynn5|Знаешь, как я построил этот бизнес? Не с ((удачей)), мой друг - о ((нет)). Я использовал скромный скригриб, чтобы ((перехитрить)) своих конкурентов, и теперь моя компания отправляет их в каждый уголок Союза Вероотступников.||||
dwynn6|Так что скажешь - ты покупаешь? ||||
p302|Так подожди - эти видения всегда ((сбываются))?||||
dwynn7|<<Он немного ерзает.>> Ну, я не могу сказать, что они ((всегда)) правы. Будущее может ((измениться)), понимаешь? И я не буду нести ответственность за любую глупость или неудачи, в которые ты попадешь после их использования. ||||
p303|Ладно, ты меня убедил - что у тебя есть на продажу? ||||
p304|Вообще-то, я хотел задать тебе несколько вопросов... ||||
dwynn8|<<Он хмурится, разочарованный.>> Хм, ладно. Что ты хочешь знать? ||||
dwynn9|Всегда приятно видеть возвращающегося клиента. Что я могу для тебя сделать? У нас есть [[чай из скригрибов]], заваривающийся, и я сдаю [[комнату наверху]]. ||||
p305|Ты слышал слухи о ((поклонниках богов)) в Пвилле? ||||
dwynn10|<<Он хмурится.>> Слушай, это довольно серьезное обвинение, чтобы бросаться им налево и направо. Что ((именно)) ты имеешь в виду, ((новичок))? ||||
p306|Из всех людей в Пвилле, ((ты)) больше всех выиграешь от лучшего урожая, не так ли?||||
dwynn11|Ты ((смеешь)) обвинять меня в таком в моем ((собственном)) магазине? Теперь слушай сюда, ты, сопляк; у меня была семья, которая пожертвовала собой ради этого ублюдка бога, просто чтобы мы могли быть здесь сегодня. ||||
dwynn12|Я помню, как был мальчишкой и видел, как мой дядя - который воспитывал меня как ((своего)) собственного - вошел в Священный Гриб и больше не вернулся. Если бы я знал о ((ком-то)), кто общается с Викканами, я бы... ((я бы...)) ||||
p307|Я никого не обвиняю; просто задаю безобидный вопрос...||||
dwynn13|Черт ((прав)), ты никого не обвиняешь. 'Потому что я достаточно стар, чтобы потерять семью из-за этого ублюдка бога, как и многие другие здесь. Мысль о том, чтобы вернуть его, вызывает дрожь в моих костях.  ||||
dwynn14|<<Он тяжело вздыхает.>> Это правда, что бизнес ((страдает)) в последнее время. Почва не та, что была, когда я был мальчишкой, и с каждым годом урожай становится все скуднее... ||||
dwynn15|Но я бы скорее закрыл все это и стал нищим на улицах Хэллоушира, чем снова подчинил Пвилл этому тирану-богу.||||
dwynn16|<<Он понижает голос до шепота.>> Если здесь действительно (('есть)) люди, молящиеся Аэнгуину - и я не говорю, что они ((есть)) - они бы делали это под ((покровом темноты)), я бы поспорил.||||
dwynn17|Только прошлой ночью я видел кого-то [[прячущегося в темноте]], когда я упаковывал вещи. Теперь, если бы кто-то [[отдохнул до ночи]], они могли бы лучше рассмотреть...||||
dwynn18|Но это все, что я скажу на эту тему. Так что не спрашивай меня снова, понял?||||
p308|Ты знал, что есть наемники с ((монстром)) за городом?||||
dwynn19|<<Он бормочет проклятия под нос.>> Я слышал об этом от одного из наших постоянных торговцев. Он сказал что-то о звере, парящем над старым фортом...||||
dwynn20|Это снова эти парни из Гнилой Луковицы, да? Вечно придумывают какую-то дурацкую схему - и все время отпугивают моих торговых партнеров! ||||
p309|Я хотел бы ознакомиться с твоими услугами. ||||
dwynn21|Вот это мне нравится. У меня есть горшок с [[чаем из скригрибов]] на плите, и у нас также есть несколько других мелочей, если тебе нужны припасы. ##Я также сдаю [[комнату наверху]] за две монеты, если тебе нужно отдохнуть. ||||
p310|Давай посмотрим, что у тебя есть на продажу.||||
dwynn22|Ладно, вот что у нас есть... ||||
p311|Я хочу снять комнату. ||||
dwynn23|Спасибо. Она прямо наверху. ##Я постараюсь не шуметь утром, когда мы упаковываем товары.||||
dwynn23b|Ага, она твоя за две монеты.||||
dwynn24|Похоже, у тебя нет монет. Возвращайся, когда соберешь немного. ||||
p312|Вообще-то, неважно. ||||
dwynn25|Передумал, да? Ну, будет что-то еще? ||||
p313|У меня есть к тебе несколько вопросов. ||||
dwynn26|Ну, если ты хочешь узнать о скригрибах, я тот, кого нужно спросить. Выращиваю и торгую ими с тех пор, как был ((вот)) такого роста. ||||
p314|Как идут дела с торговлей скригрибами? ||||
dwynn27|О, спрос никогда не был выше. Этот магазин, которым я управляю, - просто дань уважения деревне; но на самом деле я зарабатываю, продавая грибы оптом торговцам. И на них есть настоящий спрос. ||||
dwynn28|В наши дни, торговцы, поэты и полиматы пьют его от Лунделя до Вены. В чайных Бьонна, дамы и господа видят, как их будущее разворачивается перед ними... ||||
dwynn29|Но, я бы солгал, если бы сказал, что это ((все)) хорошие новости. Урожай в последнее время падает, и с каждым годом мы выращиваем все меньше. ##<<Он говорит тихо, внезапно мрачно.>> Если бы дядя был здесь, он бы знал, что делать...||||
dwynn30|Знаешь, это странная вещь. Поля скригрибов внезапно начали расти как никогда раньше! Думаю, удача Пвилла может меняться... ||||
p315|Я слышал, что у Пвилла была определенная репутация в ((контрабанде))...||||
dwynn31|<<Он бросает на тебя сердитый взгляд.>> Много людей говорят об этом. Много людей не знают, о чем ((говорят)).||||
dwynn32|Конечно, много наемников обосновались в этих краях. И да, мы торгуем с ними. Но здесь, в Пвилле, мы платим налоги так же, как ((любой)) в Союзе. Вот почему старый Кулвич поехал в Риову, чтобы научиться быть весовщиком, и все такое. ||||
dwynn33|<<Его глаза сужаются.>> И если ты совал нос куда не надо да углядел чего не по нраву — советую тебе ((заткнуться)). Я не плачу Нудду там просто за его внешность, понимаешь? Он ((защищает)) мои деловые интересы. Слышишь? ||||
p316|Есть ли где-нибудь, где я могу купить Паспорт Союза Вероотступников? ||||
dwynn34|Только чиновники Союза и сертифицированные торговцы могут их выдавать. Тебе нужно поговорить с нашим [[местным весовщиком, Кулвичем]], в весовом доме - но он не будет просто так раздавать их кому попало. ||||
p317|Ты выглядишь как находчивый торговец. У меня есть ((монеты)), и я готов заплатить... ||||
dwynn35|<<Он сужает глаза.>> Осторожно, теперь. Ты предлагаешь ((незаконную)) сделку. Такие разговоры могут привести нас ((обоих)) в тюремную камеру Инквизиции...||||
p318|@@Не волнуйся, ты можешь мне доверять.||||
dwynn36|%%<<Он молчит мгновение, глядя тебе в глаза.>> ##...Ладно. Но если хоть намек на это дойдет до кого-то, Нудд там добавит несколько новых ((коленных чашечек)) в свою коллекцию.||||
dwynn37|Иди к ветряной мельнице; там есть запертая дверь, ведущая в подвал. [[Этот ключ]] откроет ее, и ты найдешь мою [[деловую партнершу]] там. Она тебе поможет...  ||||
dwynn38|Теперь, убирайся с моих глаз. Мы никогда (('вели)) этот разговор, понял?||||
dwynn39|&&((Дерьмо кальмара)). Я не доверяю просто так каждому, кто заходит в мою дверь.||||
p319|Ладно, неважно. ||||
p320|Ладно, спасибо.||||
dwynn40|<<Он кивает.>> Что-нибудь еще? ||||
p321|Прощай.||||
dwynn41|<<Он кивает.>> Возвращайся. ||||
nudd1|<<Мужчина пьет чай и внимательно изучает тебя.>> Новое лицо, да? Если у тебя есть дела здесь, поговори с Двинном у прилавка. Он владелец этого бизнеса; я здесь только для того, чтобы все шло ((гладко)).||||
p350|Ты не похож на остальных жителей деревни.||||
nudd2|<<Он выдает тонкую улыбку.>> Ну и ну, а ты ((проницателен)), да? ||||
p351|И как ты обеспечиваешь, чтобы все шло гладко, вообще?||||
nudd3|Ну, детали таковы, что я не чувствую себя комфортно обсуждать их... <<он делает глоток,>> за ((чаем)).||||
