J| if parent matches ID, it's a task, not a stage.  (6) REQ'D STAGES: break up with commas Requires the player to have one of these as their active stage. Rarity: 0-poor,1-common,2-fine,3-shroom,4-cwk,5-void. if removeRarity is left blank it does not require rarity. (13) Needs item will only check the first req'd item. (14) removeItem(s) will create a list. They will ALL use the same itemRarity, if applicable. NEW:l IF REMOVING KEY ITEM WHICH IS STACKABLE, TASK WILL NOW REMOVE WHOLE STACK. IF WE EVER NEED TO REMOVE 1 SINGLE STACKABLE KEY ITEM WE NEED TO ADD A NEW FIELD OF ITEM AMOUNT.|||||||||||||||||||||||
0: ID|1: родитель|2: spriteID|3:startsTask|4:completes|5:ignoreHchy|6:req'dStages|7:trueFacts|8: falseFacts|9:keyItemNeeded|10: itemID|11: itemRarity|12: монета|13: глиммер|14:needsItem|15:removeItem(s)|16:remveRarity|17:FactionEnums|18:FactionInts|19:sortNum|20: English|21: French|22: German|23: Spanish|24: Italian
40|paeguthCargo||Yes||||GoldenTyphosReturned|||||||Yes|paeguthArtifact|||||Вы вернули потерянный артефакт Вернону Бервигу в Гильдии Крылатых Торговцев. Он попросил вас вернуться через день, чтобы получить награду.||||
45|paeguthCargo|||||||||||||||||||Вы вернули потерянный артефакт Вернону Бервигу в Гильдии Крылатых Торговцев. Он попросил вас вернуться через день, чтобы получить награду.||||
50|paeguthCargo|||Yes|||VernonDead||||||||||Union|4||Вы вернулись к Вернону Бервигу за наградой, но он был мертв - его труп неестественно сморщен. Вещь явно проклята; вам следует быть благодарным, что избежали той же участи.||||
godHunt|godHunt|FactionHallow|||||||||||||||||11|Охота на Бога||||
10|godHunt||Yes|||||||||||||||||Союз Вероотступников стремится очистить Хэллоушир от культистов и поклонников богов. ##Посетите здание совета Союза, в центре города Хэллоу, чтобы узнать больше. ||||
20|godHunt||Yes|||||||||||||||||Союз Вероотступников стремится очистить Хэллоушир от культистов и поклонников богов. ##Полимат в городе Хэллоу попросил вашей помощи. Она предлагает вам узнать больше в фермерских угодьях к северо-востоку от Хэллоу.||||
30|godHunt||Yes|||||||||||||||||Союз Вероотступников стремится очистить Хэллоушир от культистов и поклонников богов. ##Вы узнали, что есть присутствие культистов в старой колокольне, где-то в регионе Хэллоушира.||||
35|godHunt||Yes|||||||||||||||||Союз Вероотступников стремится очистить Хэллоушир от культистов и поклонников богов. ##Вы узнали, что есть присутствие культистов в старой колокольне, в лесу к западу от Хэллоушира.||||
40|godHunt||Yes|||||||||||||||||Союз Вероотступников стремится очистить Хэллоушир от культистов и поклонников богов. ##Вы обнаружили логово культистов и поговорили с Плодородным. Чтобы проникнуть дальше, нужно принести дань в виде Грибного Вина.||||
50|godHunt||Yes||||||paeguthKey|paeguthKey||||||||||Союз Вероотступников стремится очистить Хэллоушир от культистов и поклонников богов. ##Вы получили Ключ Пигута. Он открывает пещеру под замком Хэллоу, на востоке Хэллоушира||||
60|godHunt||||||||paeguthAspect|paeguthAspect||||||||||Вы поговорили с богом Пигутом, который дал вам аспект себя.##Если вы хотите помочь Пигуту, поместите этот аспект в самой высокой точке здания совета Союза в Хэллоу. ##Либо передайте аспект Полимату Союза, чтобы помочь им победить бога.||||
70|godHunt|||Yes|||godHuntUnion|||passport,unionCharm||20|2|Yes|paeguthAspect||Union,Wikkan|10,-5||Вы помогли Союзу Вероотступников победить бога Пигута, получив аспект бога.## У Союза не должно быть проблем с искоренением поклонения богам в регионе - хотя, прекратится ли голод, еще предстоит увидеть.||||
80|godHunt||||||godHuntCult||||||||paeguthAspect|||||Вы спрятали аспект Пигута в Хэллоу. Он наложит проклятие на тех, кто находится рядом, позволяя культу Пигута действовать беспрепятственно.## Вам следует найти Пигута, который может пожелать вас наградить. Вы чувствуете зловещее присутствие; они рядом с вами прямо сейчас.||||
85|godHunt|||Yes||80||||paeguthParasite|2||2||paeguthAspect||Union,Wikkan|-5,10||Вы спрятали аспект Пигута в Хэллоу. Он наложит проклятие на тех, кто находится рядом, позволяя культу Пигута действовать беспрепятственно. ##Голод будет прекращен, но ценой: те, кто получает пользу от Пигута, часто несут ужасные мутации... ||||
castle|castle|QuestHallow|||||||||||||||||40|Замок, Проклятый||||
10|castle||Yes|||||||||||||||||В тени замка Хэллоушира вы встретили испуганного крестьянина. Они вели себя странно и предупредили вас об этом месте. Что-то явно не так.||||
20|castle||Yes|||||||||||||||||Вы слышали, что где-то в замке Хэллоушира скрывается Викканский жрец, и он может быть связан с падением замка.||||
30|castle||Yes|||||||||||||||||Вы поговорили с Викканским жрецом в замке Хэллоушира. ##Он раскрыл, что замок проклят; только жертва может предотвратить это. В секретной комнате за картиной есть жертвенный яд.||||
40|castle||Yes|||||||||||||||||Вы получили жертвенный яд из секретной комнаты в замке Хэллоушира. ##Это может быть ключом к снятию проклятия замка; возможно, близлежащий Викканский жрец знает, что с ним делать.||||
50|castle||Yes|Yes|||castleDukeDead|||ringRobust|||1|Yes|castlePoison||Wikkan|4||Герцог Хэллоушира выпил вторую дозу жертвенного яда, мгновенно убив себя. ##Таким образом, заклинание-контракт Пигута было разорвано. Замок и окружающая деревня вернутся к нормальному состоянию - но чума может вернуться.||||
60|castle||Yes|Yes|||castleDukeAlive|||spellPoisonFlech|||1|Yes|castlePoison||Wikkan|4||Сын Герцога решил пожертвовать собой, чтобы возобновить заклинание-контракт Пигута. ##С возобновлением заклинания, ужасная странность, поразившая замок, может утихнуть... но и Герцог, и его сын мучаются вечной агонией.||||
endless|endless|FactionEndless|||||||||||||||||12|Все Хорошее...||||
10|endless||Yes|||||||||||||||||Земли Вечных страдают от землетрясений, и вы слышали слухи, что сущность, известная как Погребенный, вызывает их. ##Погребенный, как говорят, заперт под Замком Ребер, в городе Сепулькр. Кто-то в замке может знать больше.||||
15|endless||Yes|||||||||||||||||Земли Вечных страдают от землетрясений, и вы слышали слухи, что сущность, известная как Погребенный, вызывает их. ##Вы поговорили с Королевой Серебра, которая считает, что Погребенный - это ее отец. Она упомянула, что Сенешаль имеет ключ, чтобы открыть склеп замка. ||||
20|endless||Yes||||||ribsCryptKey|ribsCryptKey||||||||||Земли Вечных страдают от землетрясений, и вы слышали слухи, что сущность, известная как Погребенный, вызывает их. ##Сенешаль считает, что Погребенный - это дух Короля в Капюшоне, запертый в склепе Замка Ребер. Он дал вам ключ; дверь находится далеко под Сепулькром. ||||
30|endless||||||NeedBlood|||||||||||||Земли Вечных страдают от землетрясений. Говорят, что Погребенный - запертый в склепах Замка Ребер - вызывает их. ##Склепы охраняются дверью с клыками, которая позволяет войти только тем, кто верен Королю в Капюшоне. Вам следует спросить об этом у Сенешаля. ||||
40|endless|||||||||||||||||||Земли Вечных страдают от землетрясений. Говорят, что Погребенный - запертый в склепах Замка Ребер - вызывает их. ##Склепы охраняются дверью с клыками. Чтобы обойти ее, Сенешаль сказал вам найти кого-то, кто все еще верен Королю в Капюшоне, и убедить их дать вам их кровь.||||
50|endless|||||||NeedBlood||loyalBlood||||||||||Земли Вечных страдают от землетрясений. Говорят, что Погребенный - запертый в склепах Замка Ребер - вызывает их. ##Склепы охраняются дверью с клыками. Вы получили образец крови, который должен позволить вам пройти.||||
60|endless||||||FangedDoorOpen||||||||loyalBlood|||||Земли Вечных страдают от землетрясений. Говорят, что Погребенный - запертый в склепах Замка Ребер - вызывает их. ##Вы обошли дверь, которая запечатывает склепы замка. Все, что осталось, - это столкнуться с тем, что там внизу.||||
70|endless||||||CanAskQueenAboutEntombed|||||||||||||Земли Вечных страдают от землетрясений. Вы обнаружили, что травматический призрак Королевы Серебра вызывает их, и что этот 'Погребенный' планирует уничтожить весь остров. ##Королева Серебра наверняка захочет узнать об этом.||||
80|endless|||||||CanAskQueenAboutEntombed|queenNecklace|queenNecklace||||||||||Погребенный - это призрак Королевы Серебра, и она планирует уничтожить Вечных.##Королева дала вам ожерелье. Она надеется, что оно напомнит призраку о ее долге перед королевством и остановит ее от уничтожения острова. ##Хотя, возможно, вы могли бы помочь Погребенному; и наконец дать Вечным конец.||||
90|endless||||||||thawMemoryPotion|thawMemoryPotion||||||||||Погребенный - это призрак Королевы Серебра, и она планирует уничтожить Вечных.##Кающийся Тхав дал вам зелье счастливых воспоминаний, надеясь отговорить Погребенного от уничтожения острова. ##Хотя, возможно, вы могли бы помочь Погребенному; и наконец дать Вечным конец.||||
94|endless|||||80|||thawMemoryPotion|thawMemoryPotion||||||||||Погребенный - это призрак Королевы Серебра, и она планирует уничтожить Вечных.##Королева дала вам ожерелье, чтобы напомнить Погребенному о ее долге. Кающийся Тхав также дал вам флакон счастливых воспоминаний. Один из этих предметов может помочь отговорить призрака от разрушения. ##Хотя, возможно, вы могли бы помочь Погребенному; и наконец дать Вечным конец. ||||
96|endless|||||90|||queenNecklace|queenNecklace||||||||||Погребенный - это призрак Королевы Серебра, и она планирует уничтожить Вечных.##Кающийся Тхав дал вам флакон счастливых воспоминаний. Королева также дала вам ожерелье, чтобы напомнить Погребенному о ее долге. Один из этих предметов может помочь отговорить призрака от разрушения.##Хотя, возможно, вы могли бы помочь Погребенному; и наконец дать Вечным конец.||||
97|endless|||||||||||||||||||Погребенный - это призрак Королевы Серебра, и она планирует уничтожить Вечных.## Вы дали ожерелье Королевы призраку, но оно не смогло унять ее гнев. Если вы не можете очаровать призрака сами, должен быть другой житель Вечных, который может помочь. ##Хотя, возможно, вы могли бы помочь Погребенному; и наконец дать Вечным конец.||||
98|endless||||||||thawMemoryPotion|||||||||||Погребенный - это призрак Королевы Серебра, и она планирует уничтожить Вечных.## Вы дали ожерелье Королевы призраку, но оно не смогло унять ее гнев. Если вы не можете очаровать призрака сами, флакон воспоминаний Кающегося Тхава может сработать.##Хотя, возможно, вы могли бы помочь Погребенному; и наконец дать Вечным конец.||||
100|endless||||||EntombedThinking|EntombedTrap|||||||thawMemoryPotion,queenNecklace||EndlessRoyal,EndlessCadaver|10,-5||Вам удалось отговорить Погребенного от уничтожения Королевства Вечных.##Вам следует рассказать Королеве Серебра и положить конец этому делу. ||||
110|endless|||Yes|||EndlessHope|||ringMindSyphon|||2|||||||Вам удалось отговорить Погребенного от уничтожения Королевства Вечных.##Королева Серебра поблагодарила вас за ваши усилия; похоже, история Вечных пока не закончится.||||
120|endless|||||||EntombedTrap|||||||thawMemoryPotion,queenNecklace||EndlessRoyal,EndlessCadaver|-5,10||Погребенный - это травматический призрак Королевы Серебра, и она планирует уничтожить Королевство Вечных.##Вам удалось обмануть Королеву, заставив ее посетить своего призрака. Вам следует отдохнуть и вернуться в замок позже, чтобы увидеть последствия.||||
130|endless|||Yes|||EndlessDestroy|||ringBloodSyphon|||2|||||||Погребенный - это травматический призрак Королевы Серебра, и с вашей помощью она свергла Королеву и продвинула свои планы по уничтожению Королевства Вечных.##Семя разрушения посеяно. Со временем Вечные наконец получат свой конец.||||
flesh|flesh|QuestEndless|||||||||||||||||40|Этика Поедания Плоти||||
10|flesh||Yes||||FleshSeekMaggotson|||||||||||||Огромный чан с мясом - выращенный для кормления Вечных - обрел сознание. Он поговорил с вами, умоляя о свободе. ##Рядом прятался смотритель. Возможно, вам следует поговорить с ним об этом. ||||
20|flesh||||||FleshSentient|FleshSeekMaggotson||||||||||||Огромный чан с мясом - выращенный для кормления Вечных - обрел сознание. Он поговорил с вами, умоляя о свободе. ##Вы поговорили с Мэгготсоном об этом, и он сказал вам посетить Кающегося Тхава над фермой плоти.||||
30|flesh|||||||||||||||||||Огромный чан с мясом - выращенный для кормления Вечных - обрел сознание. Он поговорил с вами, умоляя о свободе. ##Кающийся Тхав призвал вас сохранить это в секрете. Мэгготсон - единственный, кто знает, поэтому вам следует проверить, где он находится.||||
35|flesh|||||||||||||||||||Мэгготсон исчез. Вы замечаете следы крови на полу...##Это может быть дело рук Лорда Риддера. Вам следует посетить его поместье, на скалах к юго-западу от Сепулькра. ||||
40|flesh||||||MaggotsonTortured|||||||||||||Вы нашли Мэгготсона в поместье Лорда Риддера. Его пытали.##Если Лорд Риддер знает, что ферма плоти обрела сознание, он может начать новую войну. Вам следует поговорить с ним в его поместье. ||||
50|flesh||||||FleshRhydderKnows,KnowRhydderCrusade|FleshSentient||||||||||||Лорд Риддер знает, что ферма плоти обрела сознание. Поскольку это больше не этический источник пищи, Риддер планирует начать новую войну против живых. ##Вам следует поговорить с Кающимся Тхавом об этом.||||
60|flesh|||||||FleshSeekMaggotson,MaggotsonTortured|phageEggs|phageEggs||||||||||Лорд Риддер знает, что ферма плоти обрела сознание. Поскольку это больше не этический источник пищи, Риддер планирует начать новую войну против живых.##Кающийся Тхав дал вам средства уничтожить ферму плоти. Вам следует вернуться на саму ферму плоти и принять решение: убить или пощадить ее?||||
70|flesh||||||FleshAlive,FleshResolved|FleshDead,FleshRhydderKnows|||||||phageEggs||EndlessCadaver|5||Вы пощадили жизнь разумной фермы плоти.##Вам следует вернуться к Кающемуся Тхаву и рассказать ей о том, что вы сделали.||||
80|flesh|||Yes||70|||||||1|||||||Вы пощадили жизнь разумной фермы плоти. Тхав, кажется, намерена сохранить ее в живых, пока она остается полезным объектом для исследований. ##Однако, поскольку это больше не источник этической пищи, Лорд Риддер наверняка поведет Вечных в новую войну против живых, чтобы прокормиться. ||||
90|flesh||||||FleshDead,FleshResolved|FleshAlive,FleshRhydderKnows|||||||phageEggs||EndlessRoyal|5||Вы уничтожили разумную ферму плоти.##Вам следует вернуться к Кающемуся Тхаву и рассказать ей о том, что вы сделали.||||
100|flesh|||Yes||90||||||30|1||||||40|Вы уничтожили разумную ферму плоти.##Но с этикой поедания плоти обеспеченной, Лорд Риддер не будет иметь оснований для дальнейшего разжигания напряженности. ||||
wyrm|wyrm|QuestEndless||||||||||||||||||Мрачный Аппетит||||
10|wyrm||Yes|||||||||||||||||Вы столкнулись с катакомбным червем, который скрывал сознание, сформированное из умов его жертв. ##Они попросили вас найти три Урны Страдания, разбросанные по Королевству Вечных.||||
20|wyrm|||||||||||||||||||Вы столкнулись с катакомбным червем, который скрывал сознание, сформированное из умов его жертв. ##Вы нашли Урну Страдания, но вам нужно будет принести все три червю.||||
30|wyrm|||Yes||||||treasure|2||1||urnAnguish|||||Вы столкнулись с катакомбным червем, который скрывал сознание, сформированное из умов его жертв. ##Вы принесли ему три Урны Страдания, которые утолили его голод. Он не будет беспокоить мавзолеи еще долгое время.||||
mapHallow|mapHallow|QuestQuill|||||||||||||||||32|Картография Хэллоушира||||
10|mapHallow||Yes||||mapHallowStarted||map|map||||||||||Ученый попросил вас найти четыре достопримечательности в Хэллоушире и отметить их, экипировав и используя ваш Картографический Блокнот: ##В центре находится Часовня Хэллоу; на востоке, самая большая ферма; на западе, руины, обвитые деревом; на юге, точка, где река разделяется. ||||
20|mapHallow|||Yes|||||map|||||||||||Ученый попросил вас найти четыре достопримечательности в Хэллоушире. Вы нашли и отметили их все в своем блокноте; обязательно вернитесь к ученому, чтобы получить награду. ||||
30|mapHallow||||||ChartsHallowComplete||map||||||||Union|2||Вы успешно нашли все четыре достопримечательности Хэллоушира для ученого. Ваш журнал был обновлен магической картой региона Академии.||||
mapSpecial|mapSpecial|QuestQuill|||||||||||||||||33|Особая Картография||||
10|mapSpecial||Yes||||mapSpecialStarted||map|map||||||||||----СПИСОК МЕСТ||||
20|mapSpecial|||Yes|||ChartsSpecialComplete||map||||||||Union|2||----КАРТА ЗАВЕРШЕНА. АКТИВИРУЙТЕ ЭТО В КОДЕ, А НЕ В ДИАЛОГЕ||||
academyEntry|academyEntry|QuestHallow|||||||||||||||||34|Летая Высоко||||
10|academyEntry||Yes|||||||||||||||||Огромный остров парит над Хэллоуширом. Вы слышали слухи, что это Академия Эрудитов; путешествующая цитадель научных изысканий, которая предоставит доступ только избранным. ||||
20|academyEntry||Yes|||||||||||||||||Огромный остров парит над Хэллоуширом. Вы слышали слухи, что это Академия Эрудитов; путешествующая цитадель научных изысканий. ##По-видимому, вам могут предоставить доступ, если ученый Академии даст вам рекомендательное письмо.||||
30|academyEntry||Yes|||||||||||||||||Огромный остров парит над Хэллоуширом. Вы слышали слухи, что это Академия Эрудитов; путешествующая цитадель научных изысканий. ##Ученый Академии предложил предоставить вам доступ, если вы принесете ему достаточно картографических карт. ||||
40|academyEntry||Yes||||||academyLetter|academyLetter||||||||||Огромный остров парит над Хэллоуширом. Вы слышали слухи, что это Академия Эрудитов; путешествующая цитадель научных изысканий. ##Вам дали рекомендательное письмо, которое должно предоставить доступ. ||||
50|academyEntry|||Yes|||AcademyAccess||||||1||||Union|2||Вы получили доступ к Академии Эрудитов; путешествующей цитадели научных изысканий. Теперь, какие секреты скрыты в самой известной институции Союза Вероотступников?||||
academyGod|academyGod|QuestHallow|||||||||||||||||40|Божественный Пленник||||
10|academyGod||Yes||||AcademyEvidenceHunt,academyGodStarted|||||||||||||В Академии Эрудитов агент Инквизиции попросил вас помочь ей найти незаконного бога. ##Она утверждает, что один из ученых должен скрывать его где-то; вам следует узнать больше.||||
20|academyGod||||||AcademyEvidenceScholars|||||||||||||В Академии Эрудитов агент Инквизиции попросил вас помочь ей найти незаконного бога. ##Большинство ученых просто спорят между собой, но должен быть кто-то, кто видел что-то подозрительное.||||
30|academyGod|||||||AcademyEvidenceScholars||||||||||||В Академии Эрудитов агент Инквизиции попросил вас помочь ей найти незаконного бога. ##Глем, историк Академии, утверждает, что видел кого-то, кто входил и выходил из подвала под ее зданием. По-видимому, подсвечники - это ключ к открытию этого секретного прохода. ||||
40|academyGod||Yes||||AcademyGodFound,academyGodStarted|AcademyEvidenceHunt|academyProof|academyProof||||||||||Вы вошли в секретную комнату в Академии Эрудитов, в которой находится плененный бог. ##После небольшого поиска вы также нашли журнал, принадлежащий Жерому Веррье, Главному Аэтеристу Академии. ##Вы можете противостоять Жерому в обсерватории или передать доказательства напрямую Инквизитору, который скрывается в Академии.||||
50|academyGod|||Yes|||AcademyGodHidden||||||1||academyProof|||||Вы вошли в секретную комнату в Академии Эрудитов, в которой находится плененный бог. ##Вы также нашли журнал, принадлежащий Жерому Веррье, Главному Аэтеристу Академии. Вы вернули этот журнал Жерому, спасая Академию от гнева Инквизиции. ||||
60|academyGod|||Yes|||AcademyGodRevealed|||||30|1||academyProof|||||Вы вошли в секретную комнату в Академии Эрудитов, в которой находится плененный бог. ##Вы также нашли журнал, принадлежащий Жерому Веррье, Главному Аэтеристу Академии. Вы передали эти доказательства Инквизиции, обрекая Академию на их гнев.||||
academyPortals|academyPortals|QuestHallow|||||||||||||||||35|Нам Не Нужны Дороги||||
10|academyPortals||Yes||||academyPortalsStarted,academyPortalsQuestion||portalKey|portalKey||||||||||Наталья, Главный Инженер Академии Эрудитов, попросила вас связать три Портала Академии с помощью ключа, который она вам дала. ##Первый находится в самой Академии; в то время как другие два находятся где-то в Королевстве Механизмов и Землях Вечных соответственно. Возможно, есть и другие порталы, но она хочет именно эти три.||||
20|academyPortals||||||academyPortalsActivated|academyPortalsQuestion|portalKey|||||||||||Наталья, Главный Инженер Академии Эрудитов, попросила вас связать три Портала Академии с помощью ключа, который она вам дала. ##Вы активировали все три портала, которые она просила, и вам следует вернуться к ней в Академию за наградой.||||
30|academyPortals|||Yes||||academyPortalsActivated||||30|1||||Union|2||Наталья, Главный Инженер Академии Эрудитов, попросила вас связать три Портала Академии. ##Вы сделали, как она просила, позволив мгновенно перемещаться между тремя основными островами Островов Грёз. Возможно, есть еще больше Порталов Академии, которые можно обнаружить.||||
bottledVisions|bottledVisions|QuestClockwork|||||||||||||||||40|Бутылочные Видения||||
10|bottledVisions||Yes|||||||||||||||||Вы встретили Бину, беженку из Королевства Механизмов, путешествующую через Хэллоушир. Кажется, ее мужу, Юсефу, может понадобиться помощь.||||
20|bottledVisions||Yes||||KnowAboutYoussefBottles,YoussefBottleTaskStarted|||||||||||||Юсеф, беженец из Королевства Механизмов в Хэллоушире, попросил вас найти бутылочное видение, предназначенное для его сестры Ясмин. ##Оно, скорее всего, находится в близлежащем лагере дезертиров, спрятанное в старой башне. ||||
30|bottledVisions|||||||||||||||||||Юсеф, беженец из Королевства Механизмов в Хэллоушире, попросил вас найти бутылочное видение, предназначенное для его сестры Ясмин. ##Вы нашли бутылку, и теперь Юсеф попросил вас отнести ее к Михаилу Контрабандисту - на восточной окраине Хэллоушира.||||
40|bottledVisions|||Yes|||cwk_YasmeenGotBottle|KnowAboutYoussefBottles|||||1|Yes|bottledVisions|||||Вы успешно доставили бутылочное видение Юсефа Михаилу Контрабандисту, который пообещал, что оно дойдет до его сестры Ясмин внутри Королевства Механизмов.||||
50|bottledVisions|||Yes||||KnowAboutYoussefBottles|||||1|Yes|bottledVisions|||||Вы успешно доставили бутылочное видение Юсефа Михаилу Контрабандисту, но не попросили его передать его сестре Ясмин - вместо этого положили прибыль себе в карман. ||||
playerManor|playerManor|QuestHallow|||||||||||||||||36|Поместье Торнвуд||||
10|playerManor||Yes||||KnowManorForSale|||||||||||||Вы слышали, что Торнвудское поместье, двухсотлетнее имение, выставлено на продажу. ##Посетите здание совета Союза Вероотступников в городе Хэллоу для получения дополнительной информации. ||||
20|playerManor||Yes|||||||||||||||||Вы слышали, что Торнвудское поместье, двухсотлетнее имение, выставлено на продажу. ##Клерк совета Союза Вероотступников в городе Хэллоу продаст его за 200 монет, хотя на восстановление поместья до его былого великолепия потребуется значительно больше. ||||
30|playerManor||Yes||||BoughtManor||deedManor|deedManor||||||||||Вы приобрели Торнвудское поместье (и прилегающий остров), которое находится недалеко от южной границы Хэллоушира, доступное через подъемник. ##Поместье требует значительного ремонта; используйте Станцию Недвижимости в совете города Хэллоу или на территории поместья для его улучшения. ||||
40|playerManor||||||ManorDreamsHad||deedManor|||||||||||Вы приобрели Торнвудское поместье, но, отдыхая в главной спальне, вы часто видите странные сны и просыпаетесь с кровью на подушке. ||||
50|playerManor||||||||deedManor|||||||||||Вы приобрели Торнвудское поместье и поговорили с смотрителем, который ухаживает за территорией. Он предупредил вас, что предыдущий владелец поместья — один из семьи Торнвуд — может быть все еще жив, и он настоятельно рекомендует вам не спускаться в подвал... ||||
60|playerManor|||||50|ManorDreamsHad||deedManor|||||||||||Вы приобрели Торнвудское поместье, но, отдыхая в главной спальне, вы часто видите странные сны и просыпаетесь с кровью на подушке. ##Между тем, смотритель настоятельно рекомендует вам не спускаться в подвал... ||||
70|playerManor||||||||deedManor|||||||||||В подвале Торнвудского поместья вы нашли странную и пугающую статую. Кажется, ей не хватает нескольких предметов; возможно, завершение статуи окажет какой-то эффект.||||
80|playerManor||||||||deedManor|||||||||||В подвале Торнвудского поместья вы нашли странную и пугающую статую. Замена недостающих предметов открыла секретный проход под землей. Вам стоит исследовать его дальше...||||
90|playerManor||||||DiscoveredManorVierme||manorSpellbookKey|manorSpellbookKey||||||||||В подвале Торнвудского поместья находится виерма, которая питается снами. ##Она привязана к территории поместья каким-то заклинанием, и чтобы разорвать его, вам нужно найти книгу заклинаний в разрушенном доме в западном лесу Хэллоушира. ##Конечно, вы также можете попытаться избавиться от нее более... насильственными методами. ||||
100|playerManor||||||GotManorSpellbook|||||||||||||В подвале Торнвудского поместья находится виерма, которая питается снами. ##Она привязана к территории поместья каким-то заклинанием, но вы нашли книгу заклинаний, которая может освободить ее.||||
110|playerManor|||Yes|||FreedManorVierme|ManorClueFound|||||2|||||||Вы освободили виерму, обитающую в подвале Торнвудского поместья. Она останется жить там, но обещает дарить вам бодрящие сны, когда будет питаться вами ночью. ||||
120|playerManor||||||AggroManorVierme|||||||||||||В подвале Торнвудского поместья находится виерма, которая питается снами. ##Вы напали на нее, и теперь она враждебна к вам. Возможно, вам стоит закончить начатое и даровать ей вечный покой. ||||
130|playerManor|||Yes|||KilledManorVierme|ManorClueFound|||||2|||||||Вы убили виерму, обитавшую в подвале Торнвудского поместья. Теперь вы можете спокойно спать в своей кровати, не боясь ночных шорохов. ||||
endlessMines|endlessMines|QuestEndless|||||||||||||||||40|Под Вечными||||
10|endlessMines||Yes|||||||||||||||||Дворянин попросил вас исследовать его шахты на юго-западе Земель Вечных.||||
20|endlessMines||Yes|||||||||||||||||Вы встретили человека, которого мучают кристаллы, растущие из его плоти на юго-западе Земель Вечных. ##Все это, кажется, связано с близлежащими шахтами...||||
30|endlessMines||Yes|||||||||||||||||Вы обнаружили религиозную группу в шахтах на юго-западе Земель Вечных.##Последователи упоминают кристаллическую богиню в глубине шахты...||||
40|endlessMines||Yes|||||||||||||||||Вы нашли статую кристаллической богини в глубине Шахт Вечных.##Вы присягнете ей на верность? Или найдете способ уничтожить ее?||||
45|endlessMines||Yes||||||terminusPrism|terminusPrism||||||||||Вам дали устройство, способное убить зарождающуюся Кристаллическую Богиню, которая обитает в глубине Шахт Вечных.##Но воспользуетесь ли вы им? Или вы чувствуете призыв присоединиться к ней?||||
50|endlessMines|||Yes|||endM_JoinedCrystal||crystalBoost|crystalBoost|||1|||||||Вы поклялись в верности кристаллической богине. Вашими действиями она расцветет.||||
60|endlessMines||||||endM_DestroyedCrystal|||||||||||||Вы уничтожили кристаллическую богиню и разогнали ее последователей.##Оригинальный владелец шахт, вероятно, вознаградит вас за возвращение контроля над ними.||||
65|endlessMines|||Yes|||endM_gotReward||bedBoost|bedBoost|||1|||||||Вы уничтожили кристаллическую богиню и разогнали ее последователей.##Владелец шахт планирует вскоре вернуть их в эксплуатацию.||||
cwkSkiff|cwkSkiff|FactionClockwork|||||||||||||||||13|Безопасный проход||||
1|cwkSkiff||Yes|||||||||||||||||Королевство Механизмов закрыло свои границы, и посетители строго запрещены. Ваш паспорт Союза Вероотступников здесь недействителен, отбросы. ##Но, возможно, есть кто-то, кто сможет провести вас внутрь? Попробуйте поискать на северо-восточном побережье Хэллоушира другой путь.||||
5|cwkSkiff||Yes|||||||||||||||||Королевство Механизмов закрыло свои границы, и посетители строго запрещены. ##Но вы слышали о небесном моряке поблизости, который перевозит товары. Возможно, он сможет перевезти и людей?||||
10|cwkSkiff||Yes|||||||||||||||||Королевство Механизмов закрыло свои границы, и посетители строго запрещены. ##Но Михаил, небесный моряк, согласился провезти вас внутрь за один паспорт Союза Вероотступников.||||
20|cwkSkiff|||||||||||||||||||Королевство Механизмов закрыло свои границы, и посетители строго запрещены. ##Вы убедили Михаила, небесного моряка, провезти вас внутрь. Поговорите с ним снова, когда будете готовы к полету.||||
25|cwkSkiff|||||||||||||||||||Вы обеспечили регулярный проход в и из Королевства Механизмов с помощью Михаила, небесного контрабандиста. ##Но вам нужно будет найти свой путь в Феррополис, столицу.||||
30|cwkSkiff|||||||||||||||||||Вы обеспечили регулярный проход в и из Королевства Механизмов с помощью Михаила, небесного контрабандиста. ##Если вы хотите использовать мостовые ворота в будущем, найдите Королевского Фактора на контрольно-пропускном пункте за пределами Феррополиса и скажите ей, что вас послал Михаил.||||
33|cwkSkiff|||||||||||||||||||Кривой контакт Михаила внутри Королевства Механизмов готов выдать вам разрешение на поездку, но только если вы сначала окажете ей услугу. ##Найдите потерянную королевскую грузовую капсулу где-то в сельской местности к северо-западу от Феррополиса и принесите то, что внутри, Королевскому Фактору на контрольно-пропускном пункте города.||||
37|cwkSkiff|||||||||||||||||||Кривой контакт Михаила внутри Королевства Механизмов готов выдать вам разрешение на поездку, но только если вы сначала окажете ей услугу. ##Вы нашли потерянную грузовую капсулу и обнаружили внутри законсервированную голову. Принесите ее Королевскому Фактору на контрольно-пропускном пункте за пределами Феррополиса, чтобы заслужить ее доверие.||||
40|cwkSkiff|||||||||||||||||||Вы получили официальное разрешение на поездку в Королевство Механизмов благодаря Михаилу, небесному контрабандисту, и его кривому контакту. ##Используйте его для прохода через мостовые ворота вдоль западной границы Королевства.||||
50|cwkSkiff|||Yes||||||treasure|1||1|||||||Вам предоставлена редкая привилегия свободного перемещения между Союзом Вероотступников и Королевством Механизмов благодаря Михаилу, небесному контрабандисту, и его кривому контакту. ##Разве не удивительно, чего можно достичь с помощью небольшого "услуга за услугу"?||||
