cae|||||
ID|Английский|Французский|Французский|Немецкий|Итальянский
hc94|Её заблуждение... будто можно построить некий ((рай)) в этих Небесных Землях... погубит нас всех. Флот Союза желает взять её под стражу. ##Но если до неё доберусь... я... она не доживёт до утра. ||||
p110|Расскажите мне об Инквизиции.||||
hc95|Мы — элитное подразделение... Союза Вероотступников. Специализируемся на... шпионаже, разведке и... борьбе с культами. ||||
hc96|Как вы знаете, быть вероотступником — значит... отречься от своей веры. Мы сбросили оковы наших богов... в [[Войне Богов]], около сорока лет назад. ||||
hc97|Но хотя пламя войны... угасло, скрытые угрозы остались. Викканские ковены... таятся в тёмных уголках Союза. Их жрецы... выхаживают увядших божков и творят... мерзкие обряды.||||
hc98|Каждое подразделение Инквизиции... зовётся трибуналом. Сотня оперативников, а ещё... заключённые на службе и дроны. Нам дана полная власть... насаждать законы Союза так, как мы сочтём нужным. ||||
p111|Это всё.||||
hc99|Очень... хорошо. ||||
p112|Я хотел спросить вас кое о чём.||||
hc101|Очень хорошо, но... <<Содрогаясь, устройство слегка приседает. >> ## Вам придётся говорить громче. Здесь очень... эхо. ||||
p113|Что это за крепость?||||
hc102|Её имя... [[Ослепляющий Свет]]. ##Крепость времён Войны Богов, что отгремела лет сорок назад. Чудо Кардованской инженерии. Эта исполинская пушка... вгоняла копья из стали Пустоты в сердца многих богов. ||||
hc103|На пике дурной славы Тёмных Звёзд Вела Каллос завладела... этой крепостью. Подняла её... из груды металлолома. Последние несколько лет — с тех пор, как Тёмные Звёзды перегрызлись между собой, — Вела таилась здесь. ||||
hc104|Верите или нет... я была здесь раньше, давным-давно. Это... странно, снова быть здесь.||||
p114|Почему вы в этом металлическом гробу? ||||
hc105|Вы не... единственный член этого трибунала... кто предал Союз Вероотступников. ||||
hc106|В прошлой жизни я совершила... чудовищные преступления. <<Она издаёт металлический вздох.>> ##Колдовство... без дозволения. Беседы... с богами. Разжигание... вооружённой смуты. И это далеко не всё. ||||
hc107|Этот железный гроб — честь, ((привилегия)). Боль, что он причиняет... эта ((изысканная)) пытка... оттачивает мой разум. ||||
hc108|И... он был выкован особо... чтобы оградить мой разум. Чтобы я не слышала жестокого шёпота богов... и не забывала о своём искуплении. ||||
p115|Если я скажу, что видел ((призрака)), вы подумаете, что я сошёл с ума?||||
hc109|<<Устройство колеблется.>> Что... он из себя представлял?||||
p116|Молодая женщина, в плаще.||||
p117|Очень... призрачная. ||||
hc110|<<Верховный Исповедник какое-то время молчит. Когда она наконец заговаривает, речь её медленна.>> ##Призраки — это следы... травмы. Осадок человеческих страданий, застывший в воздухе...||||
hc111|...и Острова Грёз пережили много бедствий. Земли Вечных, в частности... кишат духами. ||||
hc112|На вашем месте я бы... не внимала... словам призраков. Это истерзанные создания, и они могут... увести вас с пути.  ||||
p118|В этой крепости есть ((бог)). ||||
hc113|бог1||||
hc114|бог2||||
hc115|бог3||||
p119|Это всё.||||
hc116|Очень хорошо, Исповедник. ||||
p120|Я пойду.||||
hc117|<<Устройство дёргается, что вы принимаете за прощание.>>||||
hc120|Ну и ну... вот вы и постарались! Все бывшие Тёмные Звёзды... вернулись. ##<<Она смеётся и кашляет.>> Совсем как... в старые времена. ||||
hc121|Вместе мы составили... план. По словам Орлайт, Вела бежала в [[Подземелья]] — и, что важнее, она знает ((куда)). ##Этих преступников из Тёмных Звёзд вы возьмёте себе в... спутники. Вы будете преследовать Велу. И вы ((не)) оплошаете.||||
p121|Я не пойду в Подземелья! Это смертный приговор. ||||
hc122|<<Она тычет в вас механической конечностью.>> А что, если и ((так))? Напомнить ли вам... что вы всё ещё мой ((заключённый))? ##Вы обошли эти острова в ((искупление)) своих преступлений. И если я пошлю вас на верную гибель, вы пойдёте на неё с радостью. ||||
p122|Что там внизу, точно?||||
hc123|Сотни лет назад Эмберианцы... возвели империю из металла и магии, наперекор богам. Она простёрлась по всей поверхности мира... и человечество ((процветало)). <<Она выплёвывает это слово.>>||||
hc124|Но четыреста лет назад... [[Мировой Разлом]] обратил эту империю в прах. Уцелели лишь Небесные Земли... А внизу осталось одно... проклятые руины, где обитают призраки... и рыщут механические ужасы. ||||
hc125|Сам воздух там отравлен... густым миазмом. Пройти это место будет... непросто. Но я твёрдо верю, что вы погибнете с честью за наше дело. А может, даже... ((преуспеете)).||||
p123|Ладно. Так как мы это сделаем? ||||
hc126|Какстон Фрост закончил ремонт [[Ослепляющего Света]]. Мы можем запустить небольшой [[воздушный корабль-катер]]... в экспедицию в Подземелья. ||||
hc127|Но сначала... я окажу вам честь... [[привести в действие Ослепляющий Свет]]. ##Подойдите к главной панели управления... и поднимите тревогу... по боевым постам. ||||
caer1|Что у нас тут? Ещё одна несчастная душа, угодившая в сети Инквизиции, не иначе.||||
caer2|Скажите, ваш Верховный Исповедник отправил вас на смерть?||||
p501|Да.||||
caer3|<<На её губах проступает меланхоличная улыбка.>>##Она бывает ужасно жестока, не правда ли? ||||
p502|Нет.||||
caer4|Так вы преданы этому вздорному заведению? Вы и впрямь безнадёжны. ||||
caer5|Ещё немного — и эти ублюдки из Инквизиции пересажают пол-Небесных Земель. И за что? За молитву семейному божеству? За искру ((надежды))?||||
p503|Вы... призрак?||||
caer6|<<Она улыбается, указывая на себя.>> Вы ((шокированы)) маленьким привидением?||||
caer7|<<Её тихий смех словно эхом разносится вокруг вас.>> Боже мой, коли так, далеко вы не уйдёте. ||||
caer8|<<Она смотрит вдаль.>>||||
caer9|<<Она смотрит вдаль.>> ##Что ж, незнакомец, держите ухо востро. Помяните моё слово: на этих островах что-то назревает. Сцена готова, занавес поднят — и представление вот-вот обрушит ((дом)).||||
caer10|<<Она ухмыляется вам.>> И что-то мне подсказывает, что и вам в нём отведена своя роль.||||
caer20|Видите эту нависшую крепость? Она вселяла страх в тех, кто был храбрее и сильнее вас, незнакомец.||||
caer21|Её возвели во время Войны Богов, и вероотступники нарекли её [[Ослепляющий Свет]] — в насмешку над богами, которых собирались истребить.||||
caer22|Какая ирония: она досталась той, что сама ((ослеплена)) амбициями и рвением. Ведь Вела захватила её, гонясь за своим извращённым раем, — и теперь Ослепляющий Свет наводит пушки на те самые безбожные души, что его и создали. ||||
caer23|<<Её призрачные глаза мерцают.>> Скажите, незнакомец. Если бы между вами и вашим заветным идеалом встал заклятый враг — сразили бы вы его? Хватило бы вам ((дерзости)) отнять жизнь ради своей мечты?  ||||
p504|Да, я бы убил за свои убеждения.||||
caer24|По крайней мере, вы честны; и вы отнюдь не одиноки. Небесные Земли залиты кровью тех, кто оказался не на той стороне истории. Даже ((боги)), в конце концов, оказались смертны. ||||
p505|Никогда. ||||
caer25|<<Она усмехается.>> Так вы и мясник, ((и)) лжец разом? ##Не думайте, будто я за вами не следила, незнакомец. Едва Инквизиция вытолкнула вас из своей темницы, вы принялись резать товарищей Велы без тени сожаления. ||||
caer26|<<Она слабо улыбается.>> Доброе сердце — редкость, кажется; но пока вы верны своему слову. ||||
caer27|И всё же боюсь: в таком мире, как этот, доброе сердце лишь сведёт вас в могилу — в придорожной канаве, под мечом кого-нибудь куда менее щепетильного. ||||
caer28|И всё же вы меня заинтриговали, незнакомец. Я буду присматривать за вами. ||||
hc130|Ах, чувствуете это? Ослепляющий Свет снова поднимается в небо!||||
p531|Вы никогда не говорили, что это воздушный корабль.||||
hc131|<<Она усмехается.>> Разве вы не видели... ту великую картину или её бесчисленные копии: ((Ослепляющий Свет пронзает ужаса))? Не слыхали песен и преданий, пусть и приукрашенных? ##Я не в ответе... за ваше невежество. ||||
p532|Разве мы не можем просто полететь на этом корабле за Велой?||||
hc132|Эта летучая крепость слишком велика... для спуска. Бури, что вечно бушуют над Подземельями, разорвут её в клочья.||||
hc133|Но мы можем спустить небольшое судно с укреплённым корпусом... которое, быть может, переживёт этот путь. Трибунал будет следить за вами с безопасной высоты в небесах. ||||
p533|Так что дальше? ||||
hc134|Вы и бывшие Тёмные Звёзды сформируете ударную группу по борьбе с культами... и будете преследовать Велу. ##Ваша миссия... следующая. ||||
hc135|Вы отправитесь в [[ангар]] Ослепляющего Света, где будет готов небольшой [[воздушный корабль-катер]] для спуска в Подземелья. ||||
hc136|Джек Базальт будет пилотировать корабль, а магия Герцогини... защитит его от неумолимого хаоса подземных бурь. Какстон Фрост... обезвредит любые древние системы безопасности, которые вы найдёте на поверхности.||||
hc137|Как только приземлитесь, Орлайт укажет путь... к [[Колыбели]]. Что такое Колыбель, нам неведомо; но Вела... верит, что та способна переписать саму ткань ((реальности)). ##Излишне говорить, что её нужно ((остановить)). ||||
hc138|<<Она умолкает. Изнутри её устройства раздаётся жуткий хрип: уж не вздох ли? В нём звучит почти... волнение.>> Послушайте, Исповедник. Будь моя воля, мы бы спустили туда целый ((флот)). Но Флот Союза не желает об этом слышать. Они думают, что этот гроб, в который меня упрятали... помутил мой рассудок.||||
hc139|Мне дозволено отправить лишь самых ((расходных)) из моего трибунала. ##<<Она указывает на вас механической конечностью.>> Но, как ни противно это признавать, вы доказали, что не менее способны... чем любой оперативник под моим началом. ||||
hc140|Так что остановить Велу любой ценой — на плечах ((вашей)) команды, и только её. Помните... она играет с силами, что нам не постичь, и грозит устоям не только Союза Вероотступников... но и всех Небесных Земель. ||||
hc141|Ваша миссия ясна, Исповедник XVII? ||||
p534|Всё ясно. Я готов.||||
hc142|Хорошо. Отправляйтесь в [[ангар]], чтобы вылететь. ||||
p535|У меня есть вопросы. ||||
hc143|Очень хорошо, но побыстрее. Мы готовы... отправиться.||||
p536|Мы знаем, что Вела делает там, внизу? ||||
hc144|Давным-давно, до мятежа Тёмных Звёзд... Вела нашла карту к чему-то древнему. Мощному и опасному до невероятности. Эмберианцы называли это... [[Колыбель]]. ||||
hc145|Орлайт была с Велой, когда она обнаружила карту. Она думает... что сможет привести вас туда. Ради всех нас... она должна быть права. ||||
hc146|Ибо, хоть о Колыбели нам почти ничего не известно, то, что мы ((знаем))... леденит мне душу. Если наши сведения верны и эта штука ((работает)), Вела сможет переписать сам язык шифра... что скрепляет реальность. ||||
hc147|Это значит, что она сможет разрушить само существование. Она может ((положить конец миру)), каким мы его знаем. ||||
p537|Какие опасности нас ждут в Подземельях?||||
hc148|Не стану вам лгать... Исповедник XVII. Их множество. ##Первым испытанием станут... подземные бури. Со времён Мирового Разлома над поверхностью свирепствует неистовая буря. Чтобы пройти невредимыми... понадобится всё искусство Герцогини в шифрованной магии. ||||
hc149|Едва вы приземлитесь, на вас падёт проклятие... густого миазма, что висит над руинами. Не сумеете ему противостоять — вас поразит... слабость ума и тела. ||||
hc150|А ещё... опасности, что рыщут среди обломков. Те немногие, кто вернулся из Подземелий живым, рассказывали о... солдатах из металла, неутомимых в своих дозорах... и мстительных призраках, что разрубают человека надвое. ||||
p538|Можем ли мы доверять лояльности команды?||||
hc151|Это правда... что, хотя ваши товарищи больше не Тёмные Звёзды, они могут испытывать противоречивые чувства... когда столкнутся со своим бывшим лидером. ||||
hc152|И, как многие, кто встречает Велу, они могут поддаться... её радикальным идеалам, я не могу быть уверена даже в вашей ((собственной)) лояльности, Исповедник.||||
hc153|Но я знаю Велу. Все эти последние годы... она озиралась через плечо в безумной паранойе. Она не доверяет... никому, кто встаёт у её замыслов. ||||
hc154|Если кто-то из вас окажется предателем Инквизиции... я знаю, что это ((Вела)) вас убьёт. ||||
p539|Расскажите ещё раз о нашей миссии в Подземельях.||||
caer30|Поля Хэллоушира когда-то засевали Викканскими семенами; ведь их божества, хоть и ослабевшие, могли обеспечить хороший урожай. Контракты с богами были скромными; цена крови была справедливой. ||||
caer31|Разумеется, Союз Вероотступников в конце концов это пронюхал. Прислали ту [[Полимата]] со свитой — выжечь последние тлеющие искры божественного, — и теперь простой люд голодает, а поля их пусты и бесплодны.||||
caer32|Союз утверждает, что это во имя ((разума)) и ((прогресса.)). <<Она издаёт диссонансный вздох>>. ## Я признаю, что эти старые Викканские контракты могут быть... обманчивыми. Многие не понимают тяжести своей подписи, пока проклятие не вступит в силу...||||
caer33|Но Союз удушит Небесные Земли в путах бюрократии, покуда мы не станем молиться одним лишь срокам да накладным. Их единственное оправдание — честность; ведь люди хотя бы ((знают)), что их топчут.||||
caer34|А как насчёт ((вас)), незнакомец? Предпочли бы вы кутаться в сладкую ложь, блаженствуя в неведении, — или выбрали бы горькую ((правду))? ||||
p600|Каждый заслуживает знать правду. ||||
caer35|<<Она усмехается.>> Но можем ли мы вообще ((знать)) правду наверняка? Быть может, все мы — лишь актёры в чьём-то сне, обречённые забыться с первым лучом зари... ||||
caer36|Если бы Союз обнаружил, что это так, и написал об этом во всех своих книгах; стали бы мы просвещёнными? Или просто более потерянными? ||||
p601|Если ложная вера приносит радость, пусть будет так. ||||
caer37|<<Она тепло улыбается.>> Сказано с состраданием, незнакомец. ##Я бы согласилась всем сердцем, не знай я тёмной стороны подобной терпимости.||||
caer38|Ибо, когда сталкиваются мечты, кровь проливается уже наяву. Война Богов — тому свидетельство. ||||
p602|Идея правды — это ложь; мы все заблуждаемся.  ||||
caer39|<<Она улыбается.>> Моя мать однажды сказала мне: существует столько же миров, сколько людей в них. ##Я думаю, она бы вас полюбила, незнакомец. ||||
caer40|Чуете ((это)), незнакомец, — этот прогорклый смрад на ветру? [[Земли Вечных]] увязли в нескончаемом тлении; ведь здесь всё гниёт, но ничто не умирает. ||||
caer41|Их народ ютится в подземных городах-усыпальницах, отгораживая хрупкие тела от внешнего мира и предаваясь ностальгическим грёзам. Они обрели то, о чём грезят многие смертные, — жизнь без конца.||||
caer42|Но лучше ли такое жалкое существование, чем смерть? Скажите, незнакомец: если учёные Союза правы и за жизнью нет ничего, кроме сна без сновидений, — обращает ли это небытие в бессмыслицу всё, что было прежде? Перечёркивает ли наше бытие неминуемое забвение? ||||
p603|Это правда. Смерть делает нашу жизнь бессмысленной. ||||
caer43|<<Она смеётся.>> Слышать ((это)) от вас, звучит довольно мрачно. ||||
caer44|<<Она обводит рукой всё вокруг.>> Тогда что же всё ((это))? Общие свершения нас, смертных, ((чудеса)) цивилизации? Неужто всё это лишь общая иллюзия — отрицание нашей врождённой тщеты? ||||
caer45|<<Она усмехается.>> Знаете, не отвечайте. Даже как дух это вызывает у меня мурашки. ||||
p604|Краткость прекрасна. Вечная жизнь была бы пыткой. ||||
caer46|<<Она кивает.>> Многие из Вечных разделили бы ваши слова — после стольких веков в плену собственных тел. Говорят, даже те Вечные, которых разрубили на куски, всё ещё... в сознании.||||
caer47| Я не сомневаюсь, что, спустя достаточно времени, мы все будем молить о ничто.||||
p605|Бессмысленно об этом думать. ||||
caer48|<<Она улыбается.>> Сказано с мудростью тысячи жизней. ||||
caer49|Какие бы заклинания мы ни плели, какие бы сделки ни заключали, конец приходит ко всем нам, рано или поздно. ||||
caer50|Перемены — это сила, что беспрепятственно проносится сквозь Небесные Земли; от неё не уйти никому. Викканцы пытались противиться и были стёрты в пыль. Но для иных вихрь перемен — что попутный ветер в паруса.||||
caer51|После Войны Богов, Небесные Земли получили шанс выбрать своих хозяев. Но здесь, в [[Королевстве Механизмов]], этого было недостаточно. Их шифровальные писцы и механики решили ((построить)) своего монарха из металла и магии.||||
caer52|Это должно было стать царством, где любой работяга мог бы черпать силу бога; где ни один желудок не пустовал бы. Но принять столь крутые перемены — всё равно что бросить кости судьбы, и здешним жителям удача изменила.||||
caer53|Так что скажете, незнакомец? Пусть их народ и гниёт ныне на пустых полях — было ли благородно ((дерзнуть)) дотянуться до небес, невзирая на риск?||||
p606|Мы всегда должны стремиться быть лучше, несмотря на цену. ||||
caer54|<<Она кивает.>> Благородный порыв, спору нет. Но дорога к великим переменам скользка от крови, и явь никогда не бывает так сладка, как наши мечты... ||||
p607|Идеализм — это хорошо, но не когда на кону жизни.||||
caer55|<<Она кивает.>> Трезвый ответ. Но всякий правитель скоро усвоит, что его рукам не быть чистыми от крови; ведь бездействие — это тоже выбор.	||||
p608|Я бы предпочёл оставить такие дилеммы правящим классам. ||||
caer56|<<Она кивает.>> Бремя выбора тяжёлое, и никогда нет правильного пути. Я не виню вас за такие чувства, незнакомец.||||
caer57|Вела провела здесь бессчётные ночи, сгорбившись над столом при свече. Покуда остальная команда спала, она склонялась над звёздными картами и рылась в старых томах в поисках крупиц тайного знания. ||||
caer58|Тогда — когда я ещё была из плоти и крови — я думала, что ею движет чистая жажда построить лучший мир. Но со временем я стала видеть в ней лишь маленькую испуганную девочку, что силится починить что-то ((сломанное)) внутри себя. ||||
caer59|Ибо в сердце Велы засел шип, который ей не вырвать. Порой его сводящая с ума заноза толкает её к величию; а порой обращает её в жестокость и варварство.||||
caer60|<<Призрак смотрит вам в глаза.>> Послушайте, незнакомец. Хотите вы того или нет, ваши пути ((сойдутся)) с Велой; я вижу это ясно как день. Но что будет дальше — клубок бесконечных возможностей; тёмная бездна, что поглощает всякую попытку прозреть грядущее.||||
caer61|Если вы хотите понять женщину, с которой ваша судьба связана, найдите старый особняк, который дрейфует на [[северо-восточной окраине Хэллоушира]]. Я встречу вас там.||||
caer62|Долгие годы этот особняк сиял роскошью. Викканская кровь оплатила его стены, а ратные трофеи наполнили его залы; ведь принадлежал он [[Адмиралу Каллосу]], что возвысился в Войну Богов. ||||
caer63|И всё же счастье здесь цвело. Подле сестры Изабет ранние годы Велы были радостны; они играли под зорким оком матери. ||||
caer64|Но в том и наша глупость, что мы мним, будто привилегия, единожды обретённая, пребудет вечно. Одна опрокинутая свеча способна спалить дотла деревянный город — нечто подобное случилось и здесь.  ||||
p609|Это трагично.||||
caer65|Для Велы мир рухнул. Позже она поймёт, какую цену платили другие за её привилегии; но для того ребёнка? Она просто лишилась дома, своей ((семьи)).||||
p610|И слава богу.||||
caer66|Был ли этот дом краденой добычей? Или любимым кровом ребёнка? По правде, и тем, и другим. Мораль — не уравнение с верным ответом; она грязна, мутна...||||
p611|Меня не интересуют старые истории.||||
caer67|Так вот каков для вас мир, незнакомец, — просто старая байка с проходными героями? <<Она улыбается.>> ##Что ж, надеюсь, я вас не утомляю. ||||
caer68|Вела и её отец были в отъезде, когда этот особняк горел. Но сестра Велы Изабет и их мать сгорели заживо. ||||
caer69|Изабет была вундеркиндом. С малых лет они с Велой тайком убегали лазить по Эмберианским руинам, к великому неудовольствию отца. Изабет могла разобрать древние обломки и собрать заново — как новенькие. ||||
caer70|Если бы Изабет выжила, она бы процветала. Я вижу её сейчас, как одну из самых уважаемых археологов Небесных Земель.||||
caer71|Вела так и не оправилась от смерти сестры. В каждой магической книге, в каждом запретном томе она искала способ вернуть Изабет. Но хоть Небесные Земли и кишат тварями, что глумятся над самой жизнью — ((я в их числе)), — ответа Вела так и не нашла. ||||
caer72|Ибо грамматика шифрованной магии знает строгие законы. [[Принцип Смертности]], давно изучаемый, но едва постигнутый, не даёт воскресить тело. Человека можно вырвать из пасти смерти или неестественно продлить ему жизнь; но для обугленных останков Изабет нельзя сделать ничего.||||
p612|Могла ли Изабет быть воскрешена как Вечная?||||
caer73|Ритуал, создавший Вечных, ((повторялся)), в редких случаях... но он требует ((живого)) субъекта.||||
caer74|То же и с призраками вроде меня. Мы — отпечатки травмы; эхо разума, рождённое в единый ужасный миг. Но без живого тела? Невозможно. ||||
p613|Разве бог не мог её воскресить?||||
caer75|Вела так и думала. Она даже дошла до того, что захватила одного, заковав беднягу в цепи из стали Пустоты в Ослепляющем Свете. ||||
caer76|Но его силы, хоть и невероятные, были ограничены. Он мог спасти только одну живую душу от близкой смерти. Если бы вы дали ему труп, он не смог бы создать жизнь из ничего.||||
p614|Так вот ((это)) — шип в сердце Велы. ||||
caer77|<<Она медленно кивает.>> Думаю, именно гибель Изабет толкнула Велу оставить Флот Союза. При отце-адмирале она могла бы подняться до самых вершин; но просто... не видела в этом смысла. ||||
caer78|И тогда она взяла мечту отца и вывернула её наизнанку. Родились Тёмные Звёзды; их чёрная звезда — циничная насмешка над символом Союза Вероотступников.||||
caer79|<<Она улыбается.>> Но на сегодня сказок довольно, а? Есть остров с [[Доком для Воздушных Кораблей]] на [[западной окраине Земель Вечных]]; приходите туда, когда будете готовы, и я продолжу свой рассказ. ||||
caer80|Вот где всё началось; наёмная ватага, прозванная Тёмными Звёздами. ##Вела, Джек Базальт и Орлайт. Всего трое в пещере с шаткой посудиной, едва годной для полёта.||||
caer81|На одном из первых дел они отыскали ((меня)). Точнее, ((настоящую)) меня — пока я ещё не походила на скверную картину. <<Она усмехается.>> ##Они меня чуть не прикончили.||||
p615|Так, подождите, вы ((сражались)) с Велой?||||
caer82|Верно, незнакомец. Их нанял Риованский дворянин, чтобы собрать Викканцев в Хэллоушире, ещё до того, как Союз полностью здесь обосновался. ||||
caer83|И вот однажды утром я проснулась с мечом Орлайт у горла. В полном Эмберианском доспехе — зрелище, надо сказать, пугающее. Хотя не такое пугающее, как то, чем ((я)) ответила ей, — разряд чистого электричества, прошивший всю эту металлическую броню...||||
caer84|И мы схватились — я и мой божок против троих из них. Я едва не ускользнула, но... видеть Велу в бою — это нечто ((особенное)).||||
caer85|Обычно я предугадываю чужие намерения, но мысли Велы кишат возможностями. Не успела я опомниться, как она оказалась за спиной, приставив кинжал к моей шее. ||||
p616|К делу, призрак. ||||
caer86|<<Она усмехается.>> Как пожелаете. ##Однажды утром Вела, Орлайт и Базальт напали на меня. Я билась славно, но... в итоге кинжал Велы упёрся мне в горло.||||
caer87|Я уж думала, мне конец. Но она просто спросила: «Не хочешь податься в наёмники?» ##Так они привели меня сюда, в своё логово: и трое стали четырьмя. ||||
caer88|Вы должны понять, незнакомец. Всю юность я провела, прячась от Союза и его агентов. Родители научили меня всему, что я знаю о Викканской магии, — как расслышать язык шифра во всём сущем; но когда они исчезли, я осталась одна-одинёшенька. ||||
caer89|Когда я поведала Веле свою историю, она расплакалась и обняла меня. Я уже... ((давно)) не чувствовала прикосновения другого человека.||||
caer90|А смотреть ей в глаза было всё равно что... глядеть в пустоту. Обычно, незнакомец, я читаю людей; ловлю проблеск того, что грядёт. Но Вела? Её будущее было клубком бесконечных возможностей. Я не могла её прочесть. И это ((опьяняло)). ||||
caer91|Те первые годы с Тёмными Звёздами? Впервые я почувствовала, что где-то ((своя)). Мои товарищи не боялись моего шифра — они на него ((полагались)). ||||
p617|Вы никогда не упоминали, что были Тёмной Звездой.||||
caer92|<<Она усмехается.>> Это было бы не очень ((загадочно)) с моей стороны, не так ли? У меня есть определённая репутация, будучи призраком и всё такое. ||||
caer93|Да и потом — те Тёмные Звёзды, что знала ((я))... больше не существуют.||||
p618|Вам было тяжело расти. Мне жаль.||||
caer94|Не тяжелее, чем любому Викканцу на людской памяти. По правде, мне ещё повезло. Вела, при всех её изъянах... она ((спасла)) меня. ||||
caer95|В те ранние дни Тёмных Звёзд, Вела брала контракты от кого угодно — Союза, Викканцев, даже изгоев — но это было ради ((дела)), а не денег.||||
caer96|Ей была невыносима сама мысль походить на отца, чьи военные походы посеяли столько смуты. Так что, если от контракта несло гнильцой, мы отказывались — и голодали. И нам было всё равно.||||
caer97|Но уж если брались за дело? ((Ничто)) не могло нас остановить. Скоро ряды наши разрослись, и эта пещерка стала нам тесна. Вскоре всякий — от последнего проходимца до знатнейшего вельможи — прослышал о ((Тёмных Звёздах)).||||
p619|Что заставляло людей следовать за Велой?||||
caer98|Вела манила нас опьяняющими мечтами. Мы не просто хотели разбогатеть — мы хотели ((построить)) то, что не удалось ни Союзу, ни Викканцам. Место, свободное от богов и господ. Рай. ((Небеса))...||||
caer99|То были самые счастливые времена моей жизни. Мы вместе сражались, вместе пили и плясали, вместе ((мечтали)). Но... длиться этому было не суждено. ||||
p620|Так что пошло не так?||||
caer100|Чтобы платить новобранцам, Веле пришлось быть менее ((разборчивой)) в контрактах. Порой я с ней спорила — а когда она убила малого бога Кернуна, я и вовсе пришла в ярость... Я никогда не желала крови бога на своих руках.||||
caer101|Но всё по-настоящему вышло из-под контроля, когда она отыскала тот проклятый Эмберианский ((ключ)).||||
caer102|Есть остров, дрейфующий к [[северо-западу от Королевства Механизмов]], где находятся обломки [[Воздушного Корабля Чёрного Гоблина]]. Встретимся там, и я закончу эту историю. ||||
caer103|Эта груда хлама когда-то была грознейшим пиратским кораблём Небесных Земель; [[Чёрный Гоблин]]. Купцы от Пурии до Аль-Асфры страшились его залпов шифрованных ядер. ||||
caer104|Флот Союза посулил нам целое состояние за голову его капитана. В итоге нам достались и деньги, ((и)) корабль. После такого мало кто смел перечить Тёмным Звёздам. ||||
p621|Как вы выиграли морской бой? ||||
caer105|Мы шли на галеон в крошечной шхуне. У нас — две пушки; у них — двадцать на каждом борту. По любым меркам — чистое самоубийство. ||||
caer106|Но у меня всегда был особый... ((дар)) предвидения. Я знала, что они подставят правый борт, — так что верх оказался за нами. ||||
caer107|Не успели они и опомниться, как одна из наших пушек уже глядела им прямо в корму. Но это была не ((какая-то)) старая пушка. Это была пушка Какстона Фроста. Один-единственный залп пробил весь корабль насквозь и поджёг его. ||||
caer108|В этой суматохе наш десант высадился на палубу. Восемь против сотни — но стоило Герцогине обронить пару слов, и мечи врагов вдруг сделались... ((непомерно)) тяжелы. Орлайт прорубалась сквозь их ряды, пролагая путь к капитану.||||
caer109|К тому времени, как Вела приставила меч ему к горлу, он уже обделался. Корабль был наш, и в ту ночь мы так ((назюзюкались)) их ромом, что я ненароком ((взорвала)) шелкопряда. Бедняга... ||||
p622|Так что пошло не так?||||
caer110|После Чёрного Гоблина появился Ослепляющий Свет. Наёмная ватага с галеоном — это уже внушительно; но с крепостью времён ((Войны Богов?)) Превзойти нас не мог никто. ||||
caer111|Но как раз тогда Вела с Орлайт и наткнулись на ((карту)) — в глубине каких-то Эмберианских руин. Она вела к Колыбели, что покоится глубоко в Подземельях и обладает силой изменить ((всё)).||||
caer112|Вела всегда была честолюбива. Мы верили, что она и впрямь ((способна)) воплотить свою мечту; рай собственной работы. Но теперь она говорила о чём-то совсем ином. Она желала стать ((богом)). Переписать саму ткань реальности...||||
p623|Но зачем? С какой целью? ||||
caer113|Она клянётся, что исправит все несправедливости мира. Уравновесит чаши весов, чтобы простой люд жил, как вельможи, а правители более не алкали войны.||||
p624|Так что произошло дальше? ||||
caer114|Команда раскололась. Иные рвались за ней в Подземелья — особенно если это сулило им ещё больше золота. Но многие из нас считали, что она впала в ((безумие)). ##Слава её обернулась дурной молвой, и даже Инквизиция теперь числила нас преступниками. ||||
caer115|С младенчества я научилась внимать языку космоса. Шифр течёт сквозь всё сущее; его грамматика и синтаксис пронизывают и наши тела, и наши сны. ((Изменить)) эти законы для меня было бы святотатством бо́льшим, чем убить тысячу богов...||||
caer116|И когда Орлайт обратила меч против Велы и подняла команду Чёрного Гоблина на ((мятеж))... я была готова пролить за это дело свою кровь.||||
caer117|...и пролила бы её. ||||
caer118|По правде, я знала, что у Чёрного Гоблина нет ни единого шанса против крепости времён Войны Богов. Пушки Ослепляющего Света в мгновение растерзали наш корпус, и мы пошли ко дну сквозь облака.||||
caer119|Сквозь дым и хаос я увидела, как Вела взошла на наш корабль. Она была ((в ярости)). Они с Орлайт были как сёстры; предательства она снести не могла. Сквозь марево битвы я видела, как скрестились их клинки, — и видела Орлайт со сломленной защитой, сброшенную за борт.||||
caer120|А затем ((удар)), какого я не знала прежде. Корабль врезался в землю. Когда я очнулась — на этом самом месте — Вела стояла надо мной, глядя мне прямо в глаза. Я лежала в крови, израненная... а Вела просто развернулась и ушла. ||||
caer121|Именно в тот миг... родилась ((я)). Это призрачное эхо моей прежней себя. ##Я силилась кричать, силилась плакать; но ещё не умела... сгуститься в форму, в тело.||||
caer122|И я смотрела, как моё телесное «я», моя прежняя плоть, лежит там... едва цепляясь за жизнь. Я видела, как явились агенты Инквизиции, и видела, как она кричала, когда её волокли прочь. ||||
caer123|Я видела, как её бросили в камеру и орудия пыток терзали её плоть. Я видела, как её воля надломилась и она выдала все известные ей тайны. Я видела, как они её сломали. ||||
p625|Мне так жаль.||||
