|1: English|2: French|3. German|4. Spanish|5. Italian
CHAR_GUILE_BARTER_T|Crime Lord||||
CHAR_GUILE_BARTER|You always had a knack for acquiring ill-gotten goods; but eventually, this grew into an underground empire of trade. With success came infamy, and a brutal Inquisition raid put you behind bars.||||
CHAR_WISDOM_DAM_T|Adventurer||||
CHAR_WISDOM_DAM|At the first chance, you set out on your own. You travelled the sky realms, stowing on ships and sleeping under the stars. You learned much of the world, but you also learned how to defend yourself, as the open road is not for the faint hearted.||||
CHAR_WISDOM_PICK_T|Aetherist||||
CHAR_WISDOM_PICK|You proved adept with machinery, so the Aetherists' Guild took you as an apprentice. You learned hermetic magic, to seal a ship so it may touch the cosmos - but also the simple logic of locks and traps.||||
CHAR_WISDOM_LORE_T|Scholar||||
CHAR_WISDOM_LORE|Being accepted into a prestigious Byonne university, you learned of ancient gods, dead cities and the language of the universe. But above all, you learned to look beyond the obvious; to find the hidden truths of all things.||||
CHAR_WISDOM_CHARM_T|Councillor||||
CHAR_WISDOM_CHARM|Your treatises and polemics showed promise; you gained a position in a council in Riova, the political heart of the Apostatic Union. Before long you were hurling opinions into deafening debates.||||
CHAR_WISDOM_DEF_T|Temple Raider||||
CHAR_WISDOM_DEF|After learning of a powerful artifact in an ancient temple, you set out to obtain it. You trained to defend yourself against traps and monsters alike; but not to evade the Inquisition - who forbid the plunder of such places.||||
CHAR_WISDOM_AGI_T|Hunted||||
CHAR_WISDOM_AGI|In your studies, you learned of a forbidden word. A word whispered only in the dark; that opened unseen doors. Before you knew it, you were hunted by a shadowy organisation and forced to flee for your life.||||
CHAR_WISDOM_CAST_T|Ambitious Caster||||
CHAR_WISDOM_CAST|You were always adept at spellcraft, but eventually it became an obsession. You wrote a spell of such complex cipher logic that, when cast, it tore a hole in the veil of reality - making you a wanted criminal overnight.||||
CHAR_WISDOM_BARTER_T|Bookseller||||
CHAR_WISDOM_BARTER|You opened a bookshop in Riova; an emporium of knowledge, frequented by the most learned folk in the Apostatic Union. But when word got out that you stocked forbidden texts, the Inquisition showed you no mercy.||||
CHAR_PERSONA_DAM_T|Battle-Councillor||||
CHAR_PERSONA_DAM|To your family's chagrin, you sought the base thrill of combat. You enrolled as an infantry-councillor, honing your skills of both swordplay and debate; for in the Apostatic Union elections are decided by both.||||
CHAR_PERSONA_PICK_T|Noble Thief||||
CHAR_PERSONA_PICK|Though your family kept up appearances, their coffers were empty. You embraced a dubious morality; stealing from the dinners and balls you were invited to. At first it was just the odd goblet, but you performed ever more nefarious heists.||||
CHAR_PERSONA_LORE_T|Occultist||||
CHAR_PERSONA_LORE|While others attended parties, your head was buried in dusty tomes. You amassed a great library, frequenting bookshops and lectures. But people whispered that your tastes were unsavoury; that you sought banned texts and occult grimoires...||||
CHAR_PERSONA_CHARM_T|Socialite||||
CHAR_PERSONA_CHARM|You shunned professions of esteem, choosing instead the life of a socialite. You graced parties in Vena, Bayonne and Lundel where wine and gossip flowed. Your family's money bought you much, but the flash of your smile bought you more.||||
CHAR_PERSONA_DEF_T|Election Rigger||||
CHAR_PERSONA_DEF|You trained for one of the most important elections in the Apostatic Union. Such events are bloody and brutal, but in the end, your battle-council was found guilty of rigging; landing you in a jail cell.||||
CHAR_PERSONA_AGI_T|Disgraced Family||||
CHAR_PERSONA_AGI|Being a member of a noble family can bring a life of privilege, but when such a family falls from grace - they can fall hard. Your family was hunted and killed for their crimes, and you alone managed to flee.||||
CHAR_PERSONA_CAST_T|Skilled Caster||||
CHAR_PERSONA_CAST|Spellcasting was always a favourable pursuit; you entertained and impressed many. But you fell foul of the law when you accidentally made the clothes of a whole town disappear, leaving its people stark naked.||||
CHAR_PERSONA_BARTER_T|Merchant||||
CHAR_PERSONA_BARTER|Skilled in commerce, you established a network of shops - and even bought a merchant airship of your own. But when artifacts of god worship were found in your warehouse, the Inquisition detained you.||||
CHEAT_MODE|Cheat mode activated!||||
CHEAT_OFF|Cheat mode deactivated.||||
ALTS_ON|Alternate Start Mode On.||||
ALTS_OFF|Alternate Start Mode Off.||||
DEBUG_ON|Debug mode activated!||||
DEBUG_OFF|Debug mode deactivated.||||
CHEAT_GRAVITY|Gravity disabled. Numpad 8 & 2 to fly.  LS + A/B on gamepad.||||
CHEAT_GRAVITY_OFF|Gravity is enabled.||||
CHEAT_SAVE|Game has been saved.||||
CHEAT_GOD|God mode enabled - infinite HP and Mana, enemies won't aggro.||||
CHEAT_GOD_OFF|God mode disabled.||||
CHEAT_ITEMS|You now have a shitton of items. HAVE FUN||||
CHEAT_RESET_ACHIEVEMENTS|STEAM ACHIEVEMENTS RESET!||||
NPC_NONE|???||||
NPC_EMBERIAN|The Emberian||||
NPC_ORLAITH|Orlaith||||
NPC_BASALT|Jack Basalt||||
NPC_CHIASMA|Chiasma||||
NPC_THAW|Penitent Thaw||||
NPC_QUEEN|The Queen of Silver||||
NPC_SENESCHAL|The Seneschal||||
NPC_FANGDOOR|Fanged Door||||
NPC_WYRM|Crypt Wyrm||||
NPC_ENTOMBED|The Entombed One||||
NPC_FLESH|Way of All Flesh||||
NPC_MAGGOTSON|Maggotson||||
NPC_RHYDDER|Lord Rhydder||||
NPC_BARKEEP|Barkeep||||
NPC_RUSTY|Ol' Rotter||||
NPC_HAGGLES|Haggles||||
NPC_CHAFFER|Chaffer||||
NPC_GHOST|Ghost||||
NPC_MYGHAR|Myghar||||
NPC_SCHOLAR|Academy Scholar||||
NPC_STUDENT|Wannabe Student||||
NPC_YOUSSEF|Youssef||||
NPC_AGENT|Inquisition Agent||||
NPC_CARTOGRAPHER|Giovanni, Chief Cartographer||||
NPC_AETHERIST|Jerome, Head Aetherist||||
NPC_ALCHEMIST|Dohn, Prime Alchemist||||
NPC_ENGINEER|Natalya, Chief Engineer||||
NPC_HISTORIAN|Ghlem, Chief Historian||||
NPC_POLYMATH|Union Polymath||||
NPC_USABLES|Hallow Alchemist||||
NPC_CLERK|Council Clerk||||
NPC_TAILOR|Hallow Tailor||||
NPC_ODDITIES|Emporium Owner||||
NPC_WEAPONS|Weaponsmith||||
NPC_CARETAKER|Caretaker||||
NPC_VIERME|Vierme||||
NPC_EZRA|Ezra Thornwood||||
NPC_BERWIG|Vernon Berwig||||
NPC_MINE_NOBLE|Lord Romulous Chairon VII||||
NPC_MINE_SCULPTOR|Lucia, Holy Sculptor||||
NPC_FLESH_BROKER|Flesh Broker||||
NPC_DUCHESS|The Duchess||||
NPC_DAUGHTER_HAND|Ellyn's Hand||||
NPC_GROUNDSKEEP|Groundskeeper||||
NPC_CADAVER_GATEKEEP|Gatekeeper||||
NPC_CADAVER_GUARD|Cadaver Guard||||
NPC_CWK_SAM|Sammol||||
NPC_CWK_HORACE|Horace||||
NPC_CWK_FROST|Caxton Frost||||
NPC_CWK_VIDAL|Vidal, Vision Trader||||
NPC_CWK_MIKHAIL|Mikhail||||
NPC_CWK_HUANG|Director Huang||||
NPC_CWK_QUARSHIE|Quarshie||||
NPC_CWK_JACZEMIR|Jaczemir||||
NPC_CWK_LASCAUX|Madame Lascaux||||
NPC_CWK_XENIA|Baba Xenia||||
NPC_CWK_MAC|Shady Mac||||
NPC_CWK_KING|Its Majesty, the King||||
NPC_CWK_SUNIL|Sunil, King's Speaker||||
NPC_CWK_APHRA|Aphra, Chief Interpreter||||
NPC_CWK_MOROZOV|Morozov||||
NPC_CWK_REZA|Reza, The Sabeteur||||
NPC_CWK_OLEG|Oleg Igorovich||||
NPC_CWK_PRIPP|Doctor Pripp||||
NPC_CWK_YASMEEN|Yasmeen||||
NPC_CWK_NADJA|Nadja||||
NPC_LLUDD|Lludd||||
NPC_CULWYCH|Culwych||||
NPC_OLWEN|Mayor Olwen||||
NPC_DWYNN|Dwynn||||
NPC_NUDD|Nudd||||
NPC_ONION|Rotten Onion Guard||||
NPC_ONION_LEADER|John Birdbark||||
NPC_EMYR|Emyr||||
NPC_GHUTRID|Ghutrid||||
NPC_EM_INQ|Wounded Inquisitor||||
NPC_VELA|Vela Callose||||
DEMO_START_TITLE|Beginnings||||
DEMO_START|The world is broken. Its surface is cursed, inhospitable. Those that remain cling to islands in the sky. Somehow, you know this. ##You awaken, groggy and confused.||||
DEMO_END_TITLE|A Strange Throb||||
DEMO_END|A strange throb, inside you. Then another. You feel nauseous; your legs are weak. ##Suddenly - a loud bang and a sharp pain. You look down; there's a bloody hole in your chest. ##It appears your heart has exploded.||||
TUT_EQUIP_TITLE|Equipping Items||||
TUT_EQUIP|To equip items, open the ((Journal)) and navigate to the ((Equipment)) window.##Use the ((Loadout)) tab to equip weapons, armour and accessories.##The other two tabs allow you to equip for spells and quick-items.||||
TUT_USABLES_TITLE|Usables and Spells||||
TUT_USABLES|Spells and quick-items must be equipped in the ((Equipment)) menu before use.##Once equipped, press [[Spell]] to use spells and [[Item]] to use items.##You can scroll through equipped items with [[Switch Item]], or spells with [[Switch Spell]].||||
TUT_ATTRIBUTES_TITLE|Delusion Attributes||||
TUT_ATTRIBUTES|There are four ((Delusion Attributes)) - the fundamental attributes which govern your skills: ((Might, Wisdom, Guile)) and ((Persona)). ##To increase these attributes, you must find enough ((Glimmers of Delusion)) by exploring or completing quests.||||
TUT_SKILLS_TITLE|Skills||||
TUT_SKILLS|There are a number of ((Skills)) that determine your effectiveness at certain tasks.##Some are active-skills such as ((Lockpick)) or ((Lore)), which let you interact with objects in the world##Others are passive-skills such as ((Defence)) and ((Regen)). ##Skills can be improved by increasing the ((Delusion Attribute)) that governs it, or with special equipment.||||
TUT_LOCKPICK_TITLE|Lockpick Skill||||
TUT_LOCKPICK|Some doors can be unlocked using a lockpick item.##Your chance of success is governed by your ((Lockpick)) skill - which is governed by your ((Guile)).##If an attempt fails, one of your lockpicks will break.||||
TUT_LORE_TITLE|Lore Skill||||
TUT_LORE|Some doors can be opened via hidden mechanisms. These secret switches require a high enough ((Lore)) skill and a small amount of mana to unlock.##The lore skill is governed by your ((Wisdom)). You may be able to further increase it using special equipment.||||
TUT_CHARM_TITLE|Charm Skill||||
TUT_CHARM|Certain characters will withhold information from you. You must persuade them to speak freely.##Your success is determined by your ((Charm)) skill.##Charm is governed by your ((Persona)) attribute. You may be able to further increase it using special equipment.||||
TUT_COMBAT_TITLE|Combat||||
TUT_COMBAT|With an unholstered weapon, press [[Attack]] to perform a normal attack.##Hold it for a slower but more powerful attack.||||
TUT_STEALTH_TITLE|Stealth||||
TUT_STEALTH|In many cases, combat is avoidable. Press [[Crouch]] to toggle sneaking; your footsteps will not make any sound. ##Alternatively, you can sneak up behind an enemy to perform a stealth attack. Damage to unaware enemies will be multiplied.||||
TUT_STAMINA_TITLE|Stamina||||
TUT_STAMINA|Your attack damage depends on your current ((Stamina)) - the lower your stamina, the less damage you'll do. ##Your maximum stamina will also deplete slowly over time. If it reaches half its original value, you will become ((Fatigued)); temporarily reducing all stats. ##Maximum Stamina can be restored by sleeping in a bed or using a Stamina Potion.||||
TUT_BLOCKING_TITLE|Blocking and Parrying||||
TUT_BLOCKING|Hold [[Block]] to reduce incoming enemy damage.##If you time a block just as an enemy attack lands, you will ((Parry)) it. Successful parries negate all damage and will stagger the enemy. ##Blocking and Parrying are not possible when your stamina is empty.||||
TUT_CRAFTING_TITLE|Crafting||||
TUT_CRAFTING|Crafting Stations will allow you to modify your equipment.##Ore can improve weapons and armour. Thread can improve clothing.##Search the world for rare crafting items to create even better equipment.||||
TUT_ALCHEMY_TITLE|Alchemy||||
TUT_ALCHEMY|Alchemy Stations will allow you to brew usable items by combining two ingredients.##Herbs can be found around the world and can be combined to create potions##Many different items can be combined for unique results.||||
TUT_CRYSTALS_TITLE|Crystal Points||||
TUT_CRYSTALS|((Crystal Points)) will restore your ((Mana)). ##Use the Home spell to return to the last Crystal Point visited. You will also appear at the last used Crystal Point when loading the game.||||
TUT_THIEF_TITLE|Demo Class - Thief||||
TUT_THIEF|The loadout of a petty thief. ##This [[Demo Class]] is agile, with some skill in [[Lockpicking]]. You will start with a dagger and some basic leather armour. ##((Classes are only available in this demo. In the full game, you will craft your character as you play.))||||
TUT_MERC_TITLE|Demo Class - Mercenary||||
TUT_MERC|The loadout of a seasoned warrior. ##This [[Demo Class]] has strong combat skills and starts with sturdy armour, but you will lack the more specialised skills of other classes.  ##((Classes are only available in this demo. In the full game, you will craft your character as you play.))||||
TUT_CASTER_TITLE|Demo Class - Cipher Scholar||||
TUT_CASTER|The loadout of a spellcaster. ##This [[Demo Class]] has a range of spells and a decent [[Lore]] skill, though they lack a good offensive weapon. ##((Classes are only available in this demo. In the full game, you will craft your character as you play.))||||
TUT_NOBLE_TITLE|Demo Class - Noble||||
TUT_NOBLE|The loadout of a confident noble. ##This [[Demo Class]] is adept at dialogue challenges, with high [[Charm]] and [[Barter]] skills. ##((Classes are only available in this demo. In the full game, you will craft your character as you play.))||||
TUT_STATUS_TITLE|Status||||
TUT_STATUS|Your current status is represented by three stats; ((Health)), ((Mana)) and ((Stamina)).##To restore your status, rest in a bed or drink a potion.||||
TUT_DEATH_TITLE|Death||||
TUT_DEATH|A powerful entity has taken an interest in you. ##By their grace, you will be plucked from the jaws of death and transported to a ((Death Shrine)), without losing items or progress.||||
TUT_REGIONS_TITLE|Regions||||
TUT_REGIONS|The Apostatic Union has set up many checkpoint bridges throughout the land. ##To pass into another region, you will require a ((Union Passport)) - one per checkpoint.||||
TUT_SAVING_TITLE|Autosave||||
TUT_SAVING|The game saves your progress at regular intervals, such as when crossing between regions, using a ((Crystal Point)) or quitting the game.||||
TUT_DELUSIONS_TITLE|Delusions||||
TUT_DELUSIONS|((Glimmers of Delusion)) can be obtained by gathering blue skulls or by completing quests. ##Collect enough Glimmers to gain a ((Delusion Point)), which can be used to upgrade your Attributes.##Open your ((Journal)) and go to the ((Character)) window to spend Delusions.||||
TUT_DAY_TITLE|Time of Day||||
TUT_DAY|As the great neuron star moves through the sky, the day progresses through dawn, noon, dusk and night.##Some areas change at different times of day. ##To progress time, rest in a bed.||||
TUT_BEDS_TITLE|Beds||||
TUT_BEDS|Resting in beds recovers your health, mana and maximum stamina. ##Beds can be cheaply rented at inns.##You may also find unattended beds throughout the world. However, some are unsafe, and you will be taking a chance by resting in them.||||
TUT_PLAYERHOUSE_TITLE|Player Housing||||
TUT_PLAYERHOUSE|Open the chest to get the ((Manor Deed)), then use the small wooden house model to upgrade your manor. Some upgrades require you to rest in a bed; there is one behind you.||||
TUT_PLAYERHOUSELEAVE_TITLE|Player Housing||||
TUT_PLAYERHOUSELEAVE|You cannot leave this island in this demo build.||||
TUT_AIRSHIP_TITLE|Your Airship||||
TUT_AIRSHIP|With an airship in your possession, you are now a veritable sky captain. ##You may cast the [[Emergency Airship Reembarkation]] spell to return to your airship at any time. Do this if you become stranded away from your ship. ##You may disembark your airship anywhere, but it is often wise to do so at [[Airship Docks]], where you can interact with [[Airship Stations]] to upgrade and modify your ship. To purchase new upgrades, visit the different [[Airship Guild]] members who are often found at Docks. ##If you disembark while flying above solid ground, your airship will [[drop anchor]]. Interact with the anchor to [[descend]] or [[ascend]] promptly. ##You should also check the [[Controls]] menu to familiarise yourself with how the airship handles.||||
SIGN_ORLAITH_MAP|A strange map...||||
SIGN_RUSTBURG_WELCOME_T|RUSTBURG, Market Town.||||
SIGN_RUSTBURG_WELCOME|Here lies the largest Emberian ruin in the Oneiric Isles. ##We trade in underlands metal & Embieran antiques.||||
SIGN_RUSTBURG_WARNING_T|NOTICE TO ALL||||
SIGN_RUSTBURG_WANING|On this year 1406, the town of Rustburg is hereby abandoned. By decree of the Apostatics, no coin shall pass b'tween hands here. ##Let this be a warning to all who harbour Wikkans and their vile gods.||||
SIGN_CADAVER_WELCOME_T|CADAVER LANDS||||
SIGN_CADAVER_WELCOME|You are hereby entering the domain of the Cadavers. ##Only those loyal to our cause will be granted entry to Cadaver Keep.||||
SIGN_CADAVER_CRUSADE_T|CADAVER CRUSADES||||
SIGN_CADAVER_CRUSADE|This statue stands in memoriam to all the Endless who lost their lives in the Cadaver Crusades. ##All creatures are permitted to follow their nature, be they predator or prey. None should feel shame for their instincts.||||
SIGN_ROAMING_ISLE_T|ATTENTION: Roaming Island!||||
SIGN_ROAMING_ISLE|The Apostatic Union Geological Society has classified this a Roaming Island, as it has been known to drift erratically. In other words, it might not be here forever...||||
SIGN_STOPBARRIER_T|Cannot Pass||||
SIGN_STOPBARRIER|The owner of this place won't let you past this point.||||
DETAIL_GODWARMACHINE_T|Old Contraptions||||
DETAIL_GODWARMACHINE|You recognise these old machines are God War relics; inoperable and mostly useless. Such strange contraptions are rarely seen outside the Clockwork Kingdom these days.||||
DETAIL_DARKSTARDESK_T|A Cluttered Desk||||
DETAIL_DARKSTARDESK|An assortment of maps, notes and diagrams clutter the table, detailing the planned exploits of the Dark Star mercenaries. One in particular catches your eye; an expedition to the cursed underlands, far below the skyrealms...||||
BUFF_HEALTH_TITLE|Health Skill Buff||||
BUFF_HEALTH|Your maximum Health has been temporarily buffed.You can practically feel the cipher magic in your heartbeat.||||
BUFF_AGILITY_TITLE|Agility Skill Buff||||
BUFF_AGILITY|Your Agility has been temporarily buffed. You feel light as a feather.||||
BUFF_REGEN_TITLE|Regen Skill Buff||||
BUFF_REGEN|Your Regen has been temporarily buffed. You will recover much faster.||||
BUFF_SPELLCAST_TITLE|Spellcast Skill Buff||||
BUFF_SPELLCAST|Your Spellcast has been temporarily buffed. Careful not to singe your eyebrows with those spells, now.||||
BUFF_ATTACK_TITLE|Attack Skill Buff||||
BUFF_ATTACK|Your Attack has been temporarily buffed. You could cleave a helmet in two. Probably.||||
BUFF_LOCKPICK_TITLE|Lockpick Skill Buff||||
BUFF_LOCKPICK|Your Lockpick has been temporarily buffed. No keyhole can stop you.||||
BUFF_CHARM_TITLE|Charm Skill Buff||||
BUFF_CHARM|Your Charm has been temporarily buffed. Who could possibly resist you?||||
BUFF_BARTER_TITLE|Barter Skill Buff||||
BUFF_BARTER|Your Barter has been temporarily buffed. You're not going to be short-changed anytime soon.||||
BUFF_LORE_TITLE|Lore Skill Buff||||
BUFF_LORE|Your Lore has been temporarily buffed. It all seems so much clearer, suddenly.||||
BUFF_DEFENCE_TITLE|Defence Skill Buff||||
BUFF_DEFENCE|Your Defence has been temporarily buffed. You feel like a castle. A rather fleshy, squidgy castle.||||
BUFF_MANA_TITLE|Mana Skill Buff||||
BUFF_MANA|Your Mana has been temporarily buffed. Your mind fizzles with extra power.||||
BUFF_STAMINA_TITLE|Stamina Skill Buff||||
BUFF_STAMINA|Your Stamina has been temporarily buffed. Those hills won't get you out of breath now.||||
BUFF_FATIGUE_TITLE|Fatigued||||
BUFF_FATIGUE|Your stamina is low, so you have become Fatigued - which has reduced all your main Attributes by 1. To recover, rest in a bed or use a Stamina Potion.||||
BUFF_CURSE_TITLE|Cursed||||
BUFF_CURSE|You have become Cursed, lowering all your main Attributes by 1.||||
DEBUFF_POISON_TITLE|Poisoned||||
DEBUFF_POISON|You are poisoned! You will take damage over time.||||
BUFF_LUCK_TITLE|Lucky||||
BUFF_LUCK|You are Lucky. Everything just seems that little bit easier, all of a sudden. All your main Attributes have been raised by 1.||||
BUFF_REGENBUFF_TITLE|Regenerate||||
BUFF_REGENBUFF|Your Regen has been temporarily buffed. You will recover much faster.||||
BUFF_CASTBUFF_TITLE|Spellcast||||
BUFF_CASTBUFF|Your Spellcast has been temporarily buffed. Careful not to singe your eyebrows with those spells, now.||||
BUFF_DEFBUFF_TITLE|Defensive||||
BUFF_DEFBUFF|Your Defence has been temporarily buffed. You feel like a castle. A rather fleshy, squidgy castle.||||
BUFF_REGENHEAL_TITLE|Regenerate Health||||
BUFF_REGENHEAL|A spell is gradually restoring your Health. The cipher magic flows through your veins, giving your skin a pale blue glow.||||
BUFF_POISONWPN_TITLE|Poisoned Weapons||||
BUFF_POISONWPN|You have coated your weapons in a deadly poison. Enemies you strike will take damage over time.||||
BUFF_ALLYBUFF_TITLE|Allied Buff||||
BUFF_ALLYBUFF|You have been buffed by an ally, increasing your stats.||||
BUFF_SPEED_TITLE|Enchanted Speed||||
BUFF_SPEED|A spell is greatly boosting your Agility. Be careful not to run off the edge of the Skyrealms, now...||||
BUFF_TRUTH_TITLE|Reveal Truth||||
BUFF_TRUTH|You can temporarily see the truth of things. This effect reveals secrets that have been hidden by illusion magic.||||
BUFF_FADE_TITLE|Fade Spell||||
BUFF_FADE|You are temporarily invisible; your enemies won't see you coming.||||
BUFF_DRUNK_TITLE|Drunk||||
BUFF_DRUNK|You are drunk. Some stats have been raised, others lowered. Remember to drink responsibly, or you may wake up in a lake with no pants.||||
DREAM_VAMP1_TITLE|Restless Sleep||||
DREAM_VAMP1|Your sleep is restless; your dreams are strange. ##You see a city of sparkling towers crumble to dust in a searing light. You feel a monster slide down your throat, warming and pleasant. And you hear the screams of your mother as you flee for your life. ##You wake in a cold sweat. Blood is on your pillow.||||
DREAM_VAMP2_TITLE|Strange Dreams||||
DREAM_VAMP2|You dream of a journey, through foreign towns and exotic lands. But when you return home, all has changed. You search for your friends, but cannot find them. You search for your lover, but they are gone. You find your parents; but they are dead and buried under gravestones. ##Suddenly, the future unfurls before you; plain as day. Everyone you love will turn to dust. ##You wake screaming. There is blood running down your neck.||||
DREAM_VAMP3_TITLE|Invigorating Dreams||||
DREAM_VAMP3|You dream of soaring through the skyrealms. Your wings take you over dense forests; sprawling metropolises and crumbling ruins. You land in a field of brilliant flowers under a green star, and feel a cool breeze embrace you. ##You wake, inspired, knowing that anything is possible. You barely notice the blood on your pillow.||||
MANOR_SALE_TITLE|TO BE SOLD: Thornwood Manor||||
MANOR_SALE|A two hundred year manor, once stately and fine, that has fallen into disrepair. ##The manor grounds comprise an entire island, just off the south of Hallowshire. With the right investor this could be a thriving estate once more. ##For inquiries, visit the clerk in Hallow Town council.||||
MANOR_CLUE_TITLE|A Curious Find||||
MANOR_CLUE_PAPERS|You find papers and rolls of parchment outlining the study of various monsters. ##Most seem to feature the vierme; a parasitic organism that uses its host to feed on the dreams of its prey.||||
MANOR_CLUE_CIPHER|You find numerous documents on the theory and practice of cipher magic. They seem to all focus on a single spell that could imprison even the most violent of creatures, binding them to a limited radius. Some pages are torn, with sections removed. You cannot find the spell in question.||||
MANOR_CLUE_SMITHY|A small smithy was in operation here; perhaps just to maintain just a limited, personal arsenal. The blades are of a strange design and rusted beyond repair. It has not been used in some time.||||
MANOR_CLUE_STATUE|The statue has a haunting presence, but it looks as though some elements are missing. On closer inspection, this seems to be intentional. Perhaps replacing the missing parts will yield some hidden function.||||
NOTE_MANOR_STATUE|This statue seems to be missing something.||||
NOTE_MANOR_STATUE2|This statue is still missing something.||||
SIGN_MANOR_MINE_TITLE|APOSTATIC UNION COUNCIL NOTICE||||
SIGN_MANOR_MINE|To prospective or current owners of the Thornwood Manor property: ##This mine is in disrepair and has been sealed shut. ##Its refurbishment will be included in the [[Workshop Upgrade]] available for purchase at a [[Property Station]].||||
SIGN_MANOR_CHAPEL|To prospective or current owners of the Thornwood Manor property: ##This chapel is in disrepair and has been sealed shut. ##Its refurbishment will be included in the [[Library Upgrade]] available for purchase at a [[Property Station]].||||
SIGN_MANOR_CAVE|To prospective or current owners of the Thornwood Manor property: ##This cavern annex is in disrepair and has been sealed shut. ##Its refurbishment will be included in the [[Garden Upgrade]] available for purchase at a [[Property Station]].||||
SIGN_CWK_MAIN_TITLE|ATTENTION ALL CITIZENS||||
SIGN_CWK_MAIN1|In response to recent Outrages by the vile SABOTEUR, Its Majesty's Servants are conducting a SECURITY OPERATION in this District.##Anyone found in violation of this Order shall be presumed an Agent of the Saboteur & treated accordingly.##LONG LIVE THE KING.##Century 0, Year 27, Month 6, Day 45||||
SIGN_CWK_MAIN2|It is of utmost Gravity that you immediately report all signs of Corruption to the proper Authorities in your District. KNOW THESE OMENS:##1) Unusual Behaviour or physical Defects among Livestock & other Animals.##2) Confusion in finding your Way through familiar Places.##3) Mirages of the Eye & Ear.##4) Taste or Smell of Lilac where there is no Lilac.##LONG LIVE THE KING.##Century 0, Year 26, Month 3, Day 13||||
SIGN_CWK_OLEG_TITLE|Out Werking||||
SIGN_CWK_OLEG|Back - Nun of your Bisnis!!! ##Strictly NO Flyers, Pamphlits, Missionrys, Carolllers, Toenaile Collectors, or other Scoundrels. ##BEWARE OF MAN. ##- Oleg Myshkin||||
SIGN_CWK_PROG_AD|The city of ((PROGRESS)) is where our glorious Kingdom is ((FORGING the FUTURE)) - with our own Hands. Exciting Opportunities are available for: ##Wire Weavers ##Phosphorous Whiskers ##Steam Lathe & Drill Press Operators ##Compressed Air Workers (hazard pay applies) ##Infrahull Rune Engravers (must be shorter than 4 ft 11) ##Void Fumigators & Dethaumatisers ##LONG LIVE THE KING. Century 0, Year 19, Month 6, Day 59||||
SIGN_CWK_SCHOOLHOUSE_TITLE|Emergency Work Rota||||
SIGN_CWK_SCHOOLHOUSE|Citizens Wong, Murray, Ustinov – Guarding schoolhouse ##Citizens Heinz, Krupke, Singh, Ghazaryan – Street patrol ##Citizens Roth, Doyle, Filipovich – Welfare checks & barricade maintenance ##Citizen Onwurah – Creche duty ##Citizens Gallo & Kenzie – Infirmary duty ##Citizen Muir – Quartermaster & talent show M.C.||||
SIGN_PWYLL_LIFT_T|PWYLL FOREST||||
SIGN_PWYLL_LIFT|This platform leads down to [[Pwyll Forest.]] ##BEWARE: Unlike the newfangled dual-directional lifts of Hallowshire, this lift is one-way.||||
DIRECTION_WAYSIGN_T|Waysign Reads:||||
DIRECTION_BL|This way to ##[[THE BLINDING LIGHT]]##Fortress.||||
DIRECTION_PWYLL|This way to ##[[PWYLL]],##Home to Pwyll Village.||||
DIRECTION_PWYLLVILLAGE|This way to ##[[PWYLL VILLAGE]],##Purveyors of the prophetic Scryshroom Tea.||||
DIRECTION_ONIONS|This way to ##[[GOD WAR FORT]].##((The above has been crossed out, and someone has scrawled))##The Esteemed ROTTEN ONION Mercenary Camp||||
DIRECTION_SACREDSHROOM_NOTE|This way to ##[[THE SACRED SHROOM]].##((Someone has scrawled)) Fuck Aenguin ((underneath.))||||
DIRECTION_SACREDSHROOM|This way to ##[[THE SACRED SHROOM]].||||
DIRECTION_NOGGIN|This way to ##[[THE WOBBLY NOGGIN]].##Ye Olde Pub, serving ale and providing bed and board.||||
DIRECTION_HALLOWSHIRE|This way to ##[[HALLOWSHIRE]]##((A note has been added:))##Presided over by Hallow Town Council as of 1442.||||
DIRECTION_HALLOWTOWN|This way to ##[[HALLOW TOWN]].##||||
DIRECTION_RUSTBURG|This way to ##[[RUSTBURG]].##||||
DIRECTION_THORNWOOD|This way to ##[[THORNWOOD MANOR]].##||||
DIRECTION_BELLTOWER|This way to ##[[HALLOW BELLTOWER]].## ((The sign is old and weathered.))||||
DIRECTION_HALLOWCASTLE|This way to ##[[HALLOW CASTLE]].## ((Someone has scrawled)) ACCURSED PLACE ((underneath)).||||
DIRECTION_HALLOWMINES|This way to ##[[HALLOW MINES]].## ((Someone has scrawled)) BANDITS ((underneath)).||||
DIRECTION_PAEGUTHRUINS|This way to ##[[PAEGUTH RUINS]].##||||
DIRECTION_SKIFF|This way to ##[[SKIFF DOCK]].##||||
DIRECTION_ENDLESS|This way to ##[[THE ENDLESS REALM]].##||||
DIRECTION_SEPULCHRE|This way to ##[[THE CITY OF SEPULCHRE]].##||||
DIRECTION_CADAVERKEEP|This way to ##[[CADAVER KEEP]].##||||
DIRECTION_FLESHFARM|This way to ##[[FLESH FARMS]].## Please visit the esteemed PENITENT THAW for enquiries.||||
DIRECTION_ENDLESSMINES|This way to ##[[THE CRYSTAL MINES]].##||||
DIRECTION_MINES|This way to ##[[MINES]].##||||
DIRECTION_MAUSOLEUM|This way to ##[[MAUSOLEUM VII]].##||||
DIRECTION_MAUSOLEUM2|This way to ##[[MAUSOLEUM IX]].##||||
