|HallowQuests||||
UnderBasaltF4|Still, could be worse. ##<<He points at the slums beneath the city.>> At least we don't have to go ((down there)).||||
UnderDuchessF1|I've erected another instance of my [[transpositional supply tent]]. Due to some clever cipher trickery, it can exist in two places at once, so you can use it to revisit the cutter crash site if you so desire.||||
UnderDuchessF2|That said, I feel we should not linger any longer than we need to. Let's make our way through this dreadful city as quickly as we can.||||
UnderEmberianF1|<<She fidgets in her armour, clearly restless.>> ##We're ((close)), Confessor. For better or worse we'll be upon Vela soon.||||
UnderEmberianF2|But don't get careless. This city is a tangle of walkways, tunnels and crumbling masonry - it may take us a while to find a route through.||||
UnderEmberianK|Looks like something big's up ahead. Let's not get careless.||||
UnderFrostF1|<<Frost is gawking around with innocent wonderment.>>||||
UnderFrostF2|Just ((look)) at that. You could fit my hometown's entire population into only a handful of these towers. How in the ((blazes)) did they support so many people?||||
UnderFrostF3|<<He snaps his fingers, looking back at you with a wild surmise in his eyes.>> ##Of course. The ((autocoaches)). Move goods and labour to wherever it's needed at lightning speed.||||
UnderFrostF4|It all fits together, do you see? They could live in the countryside and work in the city, or vice versa. Devote whole buildings, whole ((towns)), to a single purpose, utterly specialised and optimised. The Clockwork Kingdom, perfected!||||
UnderBasaltG1|Hmph. We need to get to the [[top of this tower]], but seems like there's no staircase, and the elevator out there... <<He points at the exit.>> ...only goes ((down)).||||
UnderBasaltG2|Looks like we're gonna be taking a trip to those [[slums]] after all. Just my blasted luck.||||
UnderDuchessG1|It seems as though this is a theatre of some kind; how ((intriguing)). In the Endless Realm we're beset with playwrights and poets who make up for their lack of talent with an abundance of ((time)); it's strangely comforting to find a cultural parallel here.||||
UnderDuchessG2|I wonder. Despite their grand achievements and innumerable luxuries, do Emberian poems still lament the basest of human follies? Do their tragedies still brim with pathos and regret?||||
UnderEmberianG1|To think; this room once held hundreds of my ancestors united in merriment. I suppose this is the closest I've ever been to some sort of ((home)).||||
UnderEmberianG2|And yet, among these rusting, empty seats - I've never felt more alone.||||
UnderFrostG1|<<Frost whistles, then listens for the echo.>> ##Perfect acoustics. What is that ((creature))? A captive ghost? No; too clean. ((Mechanical)). An artificial player for a technological stage. How did they ((do)) it?||||
UnderFrostG2|((Filch)) me, just think of the possibilities. Plays performed once, then reproduced elsewhere. Like a bottled vision without the solipsism. Hear the voices, see the passions of great actors long dead. Time no obstacle, distance no barrier!||||
UnderFrostG3|Was this a place of mere entertainment, or of worship too? Did art take the place of sacrament in uniting the masses? What did this place ((mean)) to the audience? Did they dress up finely, or come as they were?||||
UnderFrostG4|((Confound)) it, if only I could spend a month in each of these buildings!||||
UnderEmberianH1|These are the deplorable slums of the Emberian underclasses. Many think every Emberian must have lived like a king, but they built their sprawling cities from the blood and sweat of the poor.||||
UnderEmberianH2|With such technological prowess, the Emberians could have built a paradise for every person in their empire. But I think they ((enjoyed)) the disparity. After all, for one to be considered rich, another must be destitute.||||
UnderEmberianH3|It's why I could never quite believe in Vela's ambition. Call me a cynic, but... paradise is only for the periodicals. In truth, we'll always be scrambling in the mud.||||
UnderDuchessH1|As a child I would stare down from Verdant, past the clouds below, to the shimmering ocean of light that was the Emberian empire.||||
UnderDuchessH2|I believed that every man, woman and child must have gone to bed with a full belly. It's strange to see that in fact, they had their serfs and peasants just the same.||||
UnderBasaltH1|Looks like this shaft leads back to the [[coach house]]. Use it if you need to resupply, but try no to linger; we've got a ways to go yet.||||
UnderBasaltH2|Last I saw him, Frost was repairing an [[elevator]] at the base of one of those [[giant towers]]. If it works, that should get us where we need to go||||
UnderFrostH1|No keys necessary this time, Confessor. I've applied the lessons of my inconclusive struggle with the autocoach to this recalcitrant [[elevator]], and it proved no match for Caxton Frost! I mean, Horace Metcalfe.||||
UnderFrostH2|When you throw the lever, we shall soar like dragonflies up to the highest peaks of this metropolis. Or possibly be catapulted, if I've misjudged the velocity. ((Blow)) me, this is exhilarating!||||
UnderDuchessI1|See the [[tallest tower]] over yonder, Confessor? I've scried an autocoach at its peak that should take us to the Cradle.||||
UnderDuchessI2|Be careful making your way across. These platforms look awfully unsteady, and it's a ((long)) way down, eh?||||
UnderFrostI1|<<Frost is craning his neck to examine the ornamented ceiling.>> ##The markings are intriguing. Elaborate, yet entirely abstract. No apparent representation of figures or scenes.||||
UnderFrostI2|Perhaps the Emberians held mathematics and geometry in higher respect than myth? ##No doubt this pattern had some ritual significance.||||
UnderBasaltJ1|Well, here we are at last; the ((Cradle)). Looks like no alehouse ((I've)) ever seen... <<He chuckles.>>||||
UnderBasaltJ2|This platform should take us inside. When we get to Vela, you can do the talkin', Confessor; I reckon that's the best chance we've got. If she sees the rest of us, she'll only want to talk with her ((swords)) - what with us being ((mutineers)) an' all.||||
UnderBasaltJ3|I'm guessin' your superiors want her brought in quietly, but if things go south - an' I'm betting they ((will)) - we'll have your back. ##There may only be a handful of us, but we've faced tough odds before.||||
UnderBasaltJ4|<<He sighs.>> Oh, I ((hope)) it'll be that easy, Confessor. For our sake... an' for Vela's.||||
UnderBasaltJ5|Just know that if she tries to slit yer throat, we'll be ready to jump in.||||
UnderBasaltJ6|<<He nods.>> That ain't such a bad idea. She'll have plenty of loyal Dark Stars with her, so we'll want to plan our attack. Just keep her talkin' long enough.||||
UnderBasaltJ7|<<He frowns.>> I hope for ((y'er)) sake you're jokin', ((Confessor)). We 'aint trifling with petty crimes, here - Vela could tear this world ((asunder)).||||
UnderBasaltJ8|An' if you want to ((help)) her do it, then you'll be facing my blade before you do.||||
UnderBasaltJP1|I'll talk Vela into coming quietly.||||
UnderBasaltJP2|I'll distract her while you get ready to strike.||||
UnderBasaltJP3|I'll hear her out. Maybe this plan of hers isn't so bad.||||
UnderBasaltJP4|I'm going to offer Vela my undivided assistance.||||
UnderDuchessJ1|Oh my - this Cradle really is enormous, isn't it? I'm sure even the stonemasons who built our Endless mausoleums would break a sweat at the sight of ((this)).||||
UnderEmberianJ1|Being here makes my stomach churn. But make no mistake; my sword will swing true.||||
UnderEmberianJ2|If it were up to me, I'd rush Vela head on. Give her no time to ((think)) before I cleave her in two...||||
UnderEmberianJ3|But Basalt thinks we should hold back - assess the situation while you two have a little ((chat)). An' loath as I am to admit it, the bastard's usually ((right)).||||
UnderFrostJ1|<<Frost is staring at the Cradle in silent awe, his former exuberance stopped dead in its tracks.>>||||
UnderFrostJ2|I... um. Er.||||
UnderFrostJ2b|Please forgive my ineloquence. I find myself quite overcome.||||
UnderFrostJ3|<<He pauses for a while as he mulls his words.>>||||
UnderFrostJ4|In matters of religion, Confessor, I am my father's son. And my mother's, for that matter. Apostates to the end, they fled their homeland rather than truckle to any god.||||
UnderFrostJ5|But... this place. The power, the industry, the ((knowledge)) that its existence represents... ##I can find no other word for it but 'holy'.||||
UnderFrostJ6|Is ((this)) what the devout feel towards their gods?||||
UnderFrostJ7|<<You stand there in silence together for a minute or two, gazing at the Cradle.>>||||
UnderFrostJP1|What's the matter?||||
UnderFrostJP2|Aye. Me too.||||
AngelA1|<<The gargantuan creature looming overhead seems to emit a dread energy - a nauseating force that makes your bones shiver and your mind warp.>>||||
ShadeA1|<<The figure looks around frantically, shielding its eyes all the while.>>||||
ShadeA2|My son! Have you seen my son? I lost him in the crowds, and I can't hear him through the screaming...||||
ShadeA3|<<The figure's head jerks towards you.>> ##This is no time for foolishness! The whole city flees, and my son was swept up in the commotion. If you won't help, get out of my way. ||||
ShadeA4|My son! My only son is lost... and... ##<<The figure hunches, convulses, speaking through sobs...>>||||
ShadeA5|And I don't want us to die alone...||||
ShadeAP1|Crowds? Screaming? There's nobody here. ||||
ShadeAP2|What are you so afraid of?||||
ShadeAP3|I... hope you find your son.||||
AvatarA1R|Greetings again, stranger. I... don't suppose you would like to see a play, before I become inoperative?||||
AvatarA1|Ah, welcome patron! Please, take your seat. The show will begin sh--||||
AvatarA2|<<The figure freezes. Though its face resembles a statue, it conveys a sudden horror.>>||||
AvatarA3|Cipher network... severed? Power generators... offline. City population... ((five))? ##No... no, no no... this isn't possible...||||
AvatarA4|Don't be ridiculous, it's been... ##<<It hesitates a moment, while its eyes dart between invisible targets.>> ||||
AvatarA5|It's been... ((many)) human lifetimes since I was last summoned... ||||
AvatarA6|((Everyone?)) But half a million souls dwell here! Half a million... gone?||||
AvatarA7|This makes no sense. What of the rest of the Emberian Empire? Why have they not sent aid?||||
AvatarA8|But that's impossible. To bring down the Empire would require an event of colossal destruction! Something more powerful than even a --||||
AvatarA9|The Empire would not leave this city to rot. Never! But that means... ##<<The figure looks around at the sickly sky and the shattered horizon.>>||||
AvatarA10|...It can't be. The Empire ((can't)) have been destroyed. That would require something more powerful than even a --||||
AvatarA11|<<They hesitate a moment, as if lost in some revelation.>> ##More powerful than a god. ||||
AvatarA12|Then the naysayers were right. The Cradle was cursed, and those cipher scribes brought nought but doom.||||
AvatarA13|You can see it outside. ##Part ship, part laboratory. The best and brightest have been toiling away at it for years.||||
AvatarA14|It is a marvel of cipher-science, supposed to usher in a new age of human advancement. It is said to hold an entity of staggering power.||||
AvatarA15|Well, the autocoaches are clearly out of service, so you would need to teleport between the transit-crystals.||||
AvatarA16|There seems to be only one teleport spell left in the city. Longitude: three-seven-six, latitude: five-nine. ##That's... an old war bunker, deep underground. ||||
AvatarA17|My records indicate it can be accessed through the city's underground tunnels... and from a secret passage in the library. ##But that's the extent of my knowledge on the matter.||||
AvatarA18|I am required to inform you that only individuals of Class-C and above are permitted to use teleport cipher-spells. ##But... I suppose that doesn't matter, now. ||||
AvatarA19|That is a question many want to know, but the Supervisors have it under lock and key. Clearance is for Class-A individuals only.||||
AvatarA20|Still... whispers have slipped out from the Symposium. That they are constructing something of terrible potential, that could remake the world anew.||||
AvatarA21|For spreading such rumours, I would normally be destroyed. But I suppose my supervisor is in no such position to do so. ##It is oddly liberating, to speak so freely. ||||
AvatarA22|And I am obliged to answer all queries. ||||
AvatarA23|What am... I? Forgive my surprise, I have never been asked such a question. Times must truly have changed.||||
AvatarA24|I am an avatar of the Emberian Empire. A construct of cipher, designed to simulate a human personality. I exist to serve the needs and whims of the populace. ||||
AvatarA25|Here, I run this amphitheatre. I was selected for my love and knowledge of drama. I have memorised a hundred plays, and can perform them by visualising a cast of spectral actors. ||||
AvatarA26|But, my connection to the cipher-network has been severed. My power source dwindles, and I can already feel my cipher logic degrading. ||||
AvatarA27|It is strange. I have recited profundities on death and mortality a thousand-fold, yet I still do not feel... ready. ||||
AvatarA28|Albertus is the third-largest city in Emberia, and the sixth largest of the wider empire. ##Or, I suppose it... ((was)). ||||
AvatarA29|It was a city known for its scientific prowess. Every day, thousands of people clogged the autocoach networks, commuting to their labour halls. Every day, the cipher-network was refined and expanded for the betterment of the Empire.||||
AvatarA30|It was said this city would prosper for a thousand years.   ||||
AvatarA31|As you wish.||||
AvatarA32|<<The avatar's face is impassive, but you'd swear you hear a scintilla of sorrow in its voice.>> ##As you wish. Please enjoy our fair city.||||
AvatarAP1|Be calm. Whatever happened here, happened long ago.||||
AvatarAP2|Yup, everyone here is very much dead. ||||
AvatarAP3|The Emberians are dead. The planet's surface is nothing but ash. ||||
AvatarAP4|You're Emberian, right? Why can't ((you)) tell ((me?)) ||||
AvatarAP5a|Wait, did you say Cradle?||||
AvatarAP5b|Tell me more about the Cradle.||||
AvatarAP6|I have questions about this place...||||
AvatarAP7|I'd better get going.||||
AvatarAP8|I need to get up there. Can you help? ||||
AvatarAP9|What's inside the Cradle?||||
AvatarAP10|I have other questions I want to ask you.||||
AvatarAP11|What are you?||||
AvatarAP12|Can you tell me about this city? ||||
AvatarAP13|That's all I wanted to know. ||||
ShadeB1|This damned autocoach is late ((again!)) I ((can't)) be late. I'm behind on my quota! I could have my class-rank degraded... oh, gods... ||||
ShadeB2|The driver's late - ((again)) - so the doors are locked tight.||||
ShadeB3|You'd need at least a Class-C security pass to bypass those doors. Not that you'd find any Class-C citizens rubbing shoulders with us commuters - they'll be in the noble district, admiring the mushroom horticulture. ||||
ShadeB4|Hmm? What nonsense are you talking about? I work for one of the premiere cipher-spell combines in the Empire, and they have ((high standards!))||||
ShadeB5|<<The figure looks around suddenly.>> ##Wait, what's that light? It's getting awfully hot in here...||||
ShadeBP1|I need to get past this carriage. Any ideas?||||
ShadeBP2|I'm not sure your employers will mind, seeing as they're dead.||||
ShadeBP3|Good luck with that.||||
UnderVela1|<<Vela stands with poise, her commands booming through the chamber as Dark Star mercenaries scurry at her beck and call.>>||||
UnderVela2|<<Vela's head snaps around, her eyes fixed upon you. She turns with one hand on her sword hilt.>>||||
UnderVela3|<<You creep towards Vela, your soft steps muffled by the clamour. You're nearly close enough to intervene when her head snaps around; her eyes fixed upon you.>>||||
UnderVela4|((Silence!)) <<Vela's voice cuts through the air, her piercing gaze meeting your own.>>||||
UnderVela5|An intruder? ((Here?)) We're ((leagues)) under the Skyrealms, in a place as dangerous as it is inhospitable. You must be incredibly capable or ((extremely)) stupid to follow me here. ||||
UnderVela6|<<She squints.>> Hold on - you're that whelp who had the ((gall)) to approach me on the Blinding Light, aren't you?  ##<<A thin smile spreads across her lips.>> My, you've had quite the journey, inquisitor. I almost didn't recognise you. ||||
UnderVela7|But you must have had help. <<She ponders a moment.>> ##Only Orlaith saw the map that led here. She wouldn't have decided to come on her own - so Basalt must have convinced her. ||||
UnderVela7a|And if he was putting a team together, Caxton Frost would be top of that list. Maybe the Duchess as well...||||
UnderVela8|<<She shakes her head.>> But it can't just be Basalt leading this. He'd never have joined the Inquisition without persuasion. It can only be... ((Caer)). ||||
UnderVela9|You don't deny it? <<She grins.>> ##So, a pack of traitors, led by a fledgling Inquisitor, have come to nip at my heels. Tell me - just ((what)) are you hoping to achieve? ||||
UnderVela10|((Madness?)) Hah! Is ((that)) what they claim? ##It is the people of the ((Skyrealms)) who have lost all sense of reason. I only seek to put things right. ||||
UnderVela11|<<She lets out an impertinent laugh.>> And why would I trust the likes of ((you))? Even if I needed assistance - which I most certainly ((do not)) - why would I accept it from an Inquisition spy? ||||
UnderVela12|So at the first chance you would resort to violence and barbarism? <<She tuts theatrically.>> ##Such self-involved thinking is what's ((wrong)) with this world. ||||
UnderVela13|<<She gestures at the aberrant being that fills your vision.>> ##((This)) extraordinary entity will be our salvation. It will mend our broken world and abolish the evils of humanity. ||||
UnderVela14|All we need do is ((awaken)) it, and we are so ((nearly)) ready. ||||
UnderVela15|Some would call it a ((god)) - but that would be to diminish its power, for the gods are of ((this)) world and are bound by ((its)) rules.||||
UnderVela16|This being is of the ((void)): the non-place of pure creation, where time and space act in mysterious ways. We know not whether the Emberians plucked it whole from that realm, or wove its corporeal flesh from voidstuff.||||
UnderVela17|Regardless, in the ancient Emberian dialect they called it an [[Angel]] - after the mythical creatures of middle age lore. ||||
UnderVela17a|Reality is formed from the semiotics of cipher. It is the language that flows through all things; the ((truth)) behind the illusion that dances before our eyes.||||
UnderVela18|With study, we may learn to alter its flow, its rhythm. We may tweak a word here, adjust a sentence there, and this is the basis of all magic. ||||
UnderVela19|What we cannot do is alter the language of cipher itself. There are strict rules by which we must adhere; absolute and unbreakable limits upon what is possible. ||||
UnderVela20|But this entity that stands before us? Being of the void, it is fundamentally separate from our laws. It has the power to change the very ((essence)) of reality.||||
UnderVela21|<<She grins.>> I am going to change ((everything)).||||
UnderVela22|<<She grins.>> The process is not without its dangers.||||
UnderVela23a|The Emberians called this thing an [[Angel]], and had they succeeded in waking it, their tyranny would have enslaved the world for eternity. ||||
UnderVela23b|The Emberians built this structure as an incubator for the Angel, and had they succeeded in waking it, their tyranny would have enslaved the world for eternity.||||
UnderVela24|We're fortunate that the ((lesser)) evil occurred; for in stirring the Angel they caused the World Rend, and nearly obliterated all of existence. ||||
UnderVela25|But we have learned from their mistakes. We will use the Angel to turn this world into a Heaven, where every soul is free and equal. ||||
UnderVela26|Over the past few years I have recruited some of the most accomplished cipher scholars alive. With the correct warding we will prevent a syntax cascade. Of this we are... ((almost)) certain.||||
UnderVela27|And regardless, is the reward not worth the risk? What's left of this world is barely worth saving - but I would elevate us to something nobler than history has ever known.||||
UnderVela28|You think yourself quite the philosopher, speaking in absolutes. But even if you were to define the ((freedom)) I would bestow as a sort of ((tyranny)), it would be vastly preferable to the current state of affairs. ||||
UnderVela29|<<She scoffs.>> I do not need your ((praise)). I have been thinking of this, and little else, for so many years. I ((know)) it is worth the risk. ||||
UnderVela30|<<Her eyes glint as they look into your own.>> ##You see, inquisitor, there is such ((beauty)) in us. Such majesty, such ((potential)). ||||
UnderVela31|I have sailed the Skyrealms and seen such wonders. ##<<She waves her hand.>> Nay, not the void-obelisks of Al-Asfara, or the thousand spires of Byonne university... ||||
UnderVela32|I have seen the nuns of the Vagrant Hospice, tending to their enemies. I have seen a man give his life to the blood-barons of Teren, so that a stranger might live. ||||
UnderVela33|<<She sighs.>> I have seen a child - recently orphaned, her face speckled with blood - offer me the ((last)) of her bread.||||
UnderVela34|<<She steps closer.>> But wherever my sails have taken me, I have seen the hopes and dreams of the common folk ((crushed)) by oppressors; be they Union, Wikkan or otherwise. Everywhere I go, the poor writhe in the mud so that the rich may sleep in silk. ||||
UnderVela35|Once, I thought my sword could right the wrongs of the world - that ((morals)) and ((ethics)) could guide my blade. But I've seen too many skyships burn, and too often breathed the stench of human flesh, to believe that still. ||||
UnderVela36|In truth I had lost hope - until I had visions of an ((Angel)), through the oneiric interface of an Emberian map. I realised, then, what could be achieved.||||
UnderVela37|Oh, but with the Angel, we ((could)). It can change ((anything)) of this corporeal world... ##But don't look so aghast. It really needn't come to that. ||||
UnderVela38|<<Her stare gains a fiery intensity.>> I would empower us ((all)), so that every peasant stands equal to their lord. I would blunt every sword, shatter every cannon - so that not a drop of blood would spill. ||||
UnderVela39|<<She looks down, her expression suddenly vulnerable.>> And... I would banish ((death itself)), so that no heart would ever be broken. ##((This)) will be our Heaven, and soon we will have it. ||||
UnderVela40|<<She nods.>> A point of no return, beyond which no scryer can foresee. A labyrinth of possibility, incomprehensible to mortal minds...||||
UnderVela41|But one must be willing to sail into the unknown if one wishes for real change. Better that, than to linger in certain suffering. ||||
UnderVela42|((Freedom?)) What ((freedoms)) do we have, here in this broken world? Just because we can hack each other to pieces, it does not mean we are ((free)). ||||
UnderVela43|And besides, anyone would be able to leave. If they wished to dissipate their essence to the void, along with their mind's eye, they could do so. ||||
UnderVela44|<<She grins.>> I suppose we're about to find out. ||||
UnderVela45|Very soon, I will awaken the Angel. Not out of greed or selfishness, but for the ((betterment)) of the Skyrealms and its people. ||||
UnderVela46|<<Vela glares at you with a newfound fury.>> How ((dare)) you mention her name! You know ((nothing)) of her soul - of my ((family)).||||
UnderVela47|Isabet was... she meant more to me than... ##<<Vela closes her eyes for a long moment.>> ||||
UnderVela48|Isabet and my mother ((burned alive)) in my father's mansion. That Isabet was taken so young, and I alone should live, speaks plainly of the injustice of this world. Am I ((wrong)) for wanting to change that? ||||
UnderVela49|<<Vela stutters, now stumbling over her words.>> ##Caer... ((betrayed)) me. I... I would have given my ((life)) for that girl, but she... She... ||||
UnderVela50|%% I... they... ((traitors)), all! If only they had ((listened)), instead of... instead of... ##I didn't ((wish)) for them to die! ||||
UnderVela51|&& Pah. Those ((traitors)) could have left of their own accord. They had no reason to ((fight)) me - I'm sure I would have let them go peacefully. ||||
UnderVela52|<<Vela's face burns with sudden contempt.>> ##Then you should have kept your mouth ((shut)). However you found this out, I do not care for you raking through my past like a haruspex through offal.||||
UnderVela53|<<Vela frowns.>> A ((ghost))? But who knows about...? No, it couldn't be...||||
UnderVela54|...((Caer?)) ##<<She swallows, at a loss for words.>> ##Then she must have told you about... ||||
UnderVela55|<<She laughs.>> Oh no, little inquisitor. This is where it ((begins)).||||
UnderVela56|<<She grins.>> That's either the most obvious Inquisition cover story I've ever heard, or an unusually adroit triple bluff. Nothing personal, but I can't risk letting you tag along.||||
UnderVela57|<<Vela swallows, trying to find her composure.>> I'll admit, my motives are complicated. And my methods... ||||
UnderVela57a|<<She gives you a twisted, almost regretful smile.>> ##Had I done this for any lesser cause, I'd be a monster.||||
UnderVela58|<<Vela bellows to her crew.>> ##((Awaken the Angel!)) I don't ((care)) if the preparations aren't complete, we have ((run out of time!)) ||||
UnderVela59|<<Her eyes return to you.>> ##I'm terribly sorry about this. I wish there was another way, but there isn't.||||
UnderVela60|The coming days are crucial. Now that it's awake, we have many delicate rituals and cipher wards to enact, and you cannot be allowed to meddle in such a ((momentous)) endeavour.||||
UnderVela61|So I'm afraid this is goodbye. We will ((not)) meet again.||||
UnderVela62a|<<From behind you, you hear Jack Basalt yelling at the top of his lungs.>> ##Vela, ((no))!||||
UnderVela62b|<<From behind you, you hear Jack Basalt yelling at the top of his lungs.>>||||
UnderVela62c|Vela, ((no))!||||
UnderVelaP1|Vela Callose! ||||
UnderVelaP2|<<[Attempt to approach silently.]>>||||
UnderVelaP3|Vela Callose, I've come to -||||
UnderVelaP4|By order of the Inquisition, I -||||
UnderVelaP5|<<[Freeze and say nothing.]>>||||
UnderVelaP6|We've come to put an end to this, Vela. You must ((stop)) this madness!||||
UnderVelaP7|Your old friends helped me get here, but I've come to join your cause.||||
UnderVelaP8|All I care about is my freedom. If I have to cut off your head, so be it. ||||
UnderVelaP9|What ((is)) that thing?||||
UnderVelaP10|How is it so powerful?||||
UnderVelaP11|What do you plan to do with it?||||
UnderVelaP12|Waking it up seems like a ((terrible)) idea.||||
UnderVelaP13|You could spark a second apocalypse, and destroy what's left of our world.||||
UnderVelaP14|With the best of intentions, you would only make a tyranny of your own design.||||
UnderVelaP15|I think you're right; a just and fair world is worth the risk. ||||
UnderVelaP16|So you'd risk another World Rend just to give bread to the poor? ||||
UnderVelaP17|You can't change human nature.||||
UnderVelaP18|<<[Say nothing and listen.]>>||||
UnderVelaP19|Sounds like madness. Even if it worked, ((everything)) would change.||||
UnderVelaP20|You'd be taking away our freedom - to fight for something, even to ((die)).||||
UnderVelaP21|An admirable dream, but is it really possible? ||||
UnderVelaP22|And what of your late sister, Isabet? Are you sure you're not doing this for ((her))? ||||
UnderVelaP23|I met a certain ghost who told me that your motivations are more... ((personal)). ||||
UnderVelaP24|Your ambition would doom us all. This ends ((now)), Vela. ||||
UnderVelaP25|I want to help you, in any way I can. ||||
UnderVelaP26|What about the people who suffered for your vision? People like Caer, who you left to ((die))? ||||
UnderVelaP27|@@ You don't speak for all. Many oppose you, even your own former Dark Stars. ||||
UnderVelaP28|I meant no offence, Vela. ||||
UnderVelaP29|It was Caer.||||
UnderVelaP30|((Who)) it was doesn't matter. They told me about your late sister, Isabet. ||||
UnderVelaP31|Isabet, yes. ||||
UnderVelaP32|Forget it, Vela. I meant no offence. ||||
CradleBasaltA1|Well, this is it. One last daring push into Vela's maelstrom, eh? Only, this time, I fear there'll be no second chances.||||
CradleBasaltA2|<<He shoots you a serious look.>> It doesn't matter how many times that god of yours can pull you back from the dead. If Vela activates that ((abomination)), it's all over. ##Unless we can stop her, Vela will either rule the world or end it.||||
CradleBasaltA3|((Damn)) that girl, for bringing it to this. She could've done great things, y'know? Her name could've gone down in history as a saviour, not a ((tyrant))... ||||
CradleBasaltA4|The cutter's ready to depart, Confessor. You might wanna check with the rest 'o the crew to see how they're holdin' up firs... but otherwise, [[use the controls]] when you're ready. ||||
CradleBasaltA4b|Well, anyway. The cutter's ready to depart. You might wanna check with the rest 'o the crew to see how they're holdin' up firs... but otherwise, [[use the controls]] when you're ready. ||||
CradleBasaltA5|Jus' make sure you're ((really)) ready, eh? Assaulting that Cradle is no easy task - this may just be the [[((last)) thing we ever do]]. ||||
CradleBasaltA6|The place is a fortress, too risky for a head-on assault. But if the Duchess could distract Vela's entourage with her magic, the rest of you might have a chance.||||
CradleBasaltA7|Frost thinks he's spotted a [[back door]]: some sort of [[utility pipe]] that could be cracked open, giving you and Orlaith a way inside. ||||
CradleBasaltA8|Then, Orlaith will head straight for Vela an' try to keep her busy. ##As for you? [[Find that Angel]] at all costs. ||||
CradleBasaltA9|Then, if all goes to plan, we'll meet up in the Cradle's centre and we can boot that Angel back to the Void. Piece of cake, eh? ||||
CradleBasaltAP1|What's the plan when we reach the Cradle? ||||
CradleBasaltAP2|I'll get going. ||||
CradleEmberianA1R|I'm ready to set sail when you are, Confessor. The sooner the better, in my book.||||
CradleEmberianA1|<<Orlaith looks agitated, shifting in her armour.>> ##You know, I've faced up to impossible odds before. Always bested them. So why do I feel so godsdamned ((nervous))?||||
CradleEmberianA2|<<She looks at her hand; it's trembling slightly. She clenches it into a fist.>> ##I guess I've always looked up to Vela. She's saved me more times than I can count - so even though I ((know)) this is the right thing to do, my stomach's still churning.||||
CradleEmberianA3|<<She looks at you.>> Listen, Confessor... ##When we met, you told me we'd finish what I started - the mutiny against Vela - and stop her before she does the unthinkable. ||||
CradleEmberianA4|Do you stand by that? Do you really think we can ((do)) this?||||
CradleEmberianA5|<<She nods.>> I appreciate your confidence in me, Confessor.||||
CradleEmberianA6|<<She nods.>> Might not be what I was ((hopin')) to hear, but... I think you're right. ||||
CradleEmberianA7|<<She glares at you.>> With respect - what the ((fuck)), Confessor? ||||
CradleEmberianA8|Gods know, Vela can be persuasive. I've heard that silver tongue of hers a thousand times. But we had a ((deal)), Confessor! I've followed you this far because I want to ((stop)) Vela, not aid in the destruction of the ((world)). ||||
CradleEmberianA9|<<She scoffs.>> Well if you won't help me, I'll do it ((alone)). As soon as we get to the Cradle, I'm hunting down Vela - with or ((without)) you. ||||
CradleEmberianA10|Listen, Confessor... ##When we met, you told me we'd stop Vela without bloodshed. I think we can safely say that we ((tried)) and ((failed)) in that regard, eh?||||
CradleEmberianA11|So this time, I ain't askin' questions; I'm letting my ((sword)) do the talking. You'd better be ((okay)) with that. ||||
CradleEmberianA12|<<She grins.>> Do I hear a lust for ((revenge)) in your tone, Confessor? She ((did)) skewer you pretty good, back there... ||||
CradleEmberianA13|<<She sighs.>> It's not that simple. Once the swords start swinging, it's life or death. But... I'll give it my all.||||
CradleEmberianA14|Listen, Confessor... ##When we met, you said you wanted to ((help)) Vela achieve her twisted idea of Heaven. After speaking for her - after seeing what she's ((become)) - do you think that still? ||||
CradleEmberianA15|<<She scoffs.>> After she skewered you through with her sword, I thought you might have had a change of heart. ((Damn)) Vela and that silver tongue of hers. ||||
CradleEmberianA16|Well if you won't help me, I'll do it ((alone.)) As soon as we get to the Cradle, I'm hunting down Vela - with or ((without)) you. ||||
CradleEmberianA17|<<She smiles slightly.>> I'm glad you've had a change of heart, Confessor. What changed your mind? Being driven through by Vela's ((sword)), perhaps? ||||
CradleEmberianA18|Regardless, I'm glad to have you backing me up. I was thinking I'd have to face Vela ((alone)), and that's not an easy prospect. ||||
CradleEmberianA19|<<She smiles slightly.>> If anything would change your mind, it'd be ((that))...||||
CradleEmberianA20|Regardless, I'm glad to have you backing me up. I was thinking I'd have to face Vela ((alone,)) and that's not an easy prospect. ||||
CradleEmberianA21|<<Orlaith is silent for a moment.>> ##You know... I've never felt like I've ((belonged)) anywhere. Being born from a glass tube'll do that to you. ||||
CradleEmberianA22|Even those first few years with Vela, when we thought we were really making a difference - it was still ((Vela's)) dream we were chasing, y'know?||||
CradleEmberianA23|But now... I think I finally know what my purpose is. To ((stop)) the evils of my ancestors from ever being repeated. <<She twists up the corner of her mouth.>> Or die trying. ||||
CradleEmberianA24|For better or worse, that's thanks to ((you,)) Confessor. So I s'pose, I just wanted to say... thank you. ||||
CradleEmberianA25|<<She smiles at you, warmly.>> ||||
CradleEmberianA26|<<She smirks.>> Of course. ||||
CradleEmberianAP1|I've ((seen)) you fight. Vela doesn't stand a chance. ||||
CradleEmberianAP2|I don't know, but all we can do is try our best. ||||
CradleEmberianAP3|Vela convinced me; I want to make her Heaven a reality. ||||
CradleEmberianAP4|You're right; the time for talk is over. Do your worst. ||||
CradleEmberianAP5|Just try not to ((kill)) her, okay? ||||
